room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_SAUNA,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_BREAKFAST,SYSTEM_PETS,SYSTEM_VIEW_MOUNTAIN,SYSTEM_GOLF,SYSTEM_MAPS_RESORT,SYSTEM_DRYER,SYSTEM_FIREPLACE,SYSTEM_SKI,SYSTEM_BOAT_SAIL,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_EV_CHARGER,SYSTEM_HIGH_CHAIR,SYSTEM_CALENDAR,SYSTEM_BATHTUB
849937647170637225,https://www.airbnb.com.vn/rooms/849937647170637225,"4,67",Vũng Tàu,28,10.35058,107.09517,REGULAR,,Apt _Căn Hộ Hồ Bơi TheSong,entire_home,3,False,,/ đêm,,,7,True,True,True,True,True,True,,True,,True,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,
891968850032226070,https://www.airbnb.com.vn/rooms/891968850032226070,,Vũng Tàu,25,10.3492,107.09622,REGULAR,,The Sóng 2bedrooms-free brf-goby home,entire_home,,False,,/ đêm,,,5,True,True,True,True,,True,,True,,True,,,,,,,,,True,True,,,,,,,,True,,,,,,,,,,,,,
648083845268625275,https://www.airbnb.com.vn/rooms/648083845268625275,,Vũng Tàu,6,10.33697,107.08641,REGULAR,,Milan 01 - Căn hộ Seaview Melody (B15-24),entire_home,,False,,/ đêm,,,4,True,True,True,True,,,,True,True,True,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,True,,
669016009213786508,https://www.airbnb.com.vn/rooms/669016009213786508,"5,0",Vũng Tàu,12,10.3376209,107.0860684,REGULAR,,CĂN HỘ MELODY - TROPICAL HOUSE (1PN-SEAVIEW),entire_home,10,False,,/ đêm,955.117,₫955.117,5,True,True,True,True,True,,,True,,True,,True,,False,,,,,,,,,,,,,,,,,,,,,,,,True,,,
23760330,https://www.airbnb.com.vn/rooms/23760330,"4,66",Thành phố Vũng Tàu,30,10.33732,107.08686,REGULAR,,Căn hộ Milan 20-Buổi hoàng hôn và Giai điệu bình minh (A20),entire_home,60,False,,/ đêm,956.667,₫956.667,10,True,True,True,True,,,,True,True,True,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,True,,
793136921881726579,https://www.airbnb.com.vn/rooms/793136921881726579,"4,5",Vũng Tàu,30,10.35003725740276,107.09611292928457,REGULAR,,Chỗ nghỉ ấm cúng bên bờ biển,entire_home,4,False,,/ đêm,,,6,True,True,True,True,True,True,True,,,,,True,,False,,,,,,,,True,,,,,,,,,,,,,,,,,,,
873630511355211983,https://www.airbnb.com.vn/rooms/873630511355211983,,Vũng Tàu,29,10.3500436,107.095826,REGULAR,,The Song Luxury Apartment Vung Tau Homestay,entire_home,,False,,/ đêm,1.015,₫1.015.648,6,,True,True,True,,True,,True,True,,,,True,False,,,,,,,,True,,,,,,True,,,,,,,,,,,,,
796165931019590963,https://www.airbnb.com.vn/rooms/796165931019590963,"5,0",Vũng Tàu,15,10.3500335,107.0961128,REGULAR,,The Song Apartment (Ngày mai 2),entire_home,5,False,,/ đêm,825.883,₫825.883,6,True,True,True,True,,True,,True,True,,,,,False,,,,,,True,,,,,,,,True,,,,,,,,,,,,,
874920396863967080,https://www.airbnb.com.vn/rooms/874920396863967080,,Vũng Tàu,30,10.3500436,107.095826,REGULAR,,Căn 2PN The Sóng - Trinh Homestay.,entire_home,,False,,/ đêm,,,5,True,True,True,True,,True,,True,,True,,,,False,,,,,,True,,,,,,,,True,,,,,,,,,,,,,
46143977,https://www.airbnb.com.vn/rooms/46143977,"4,58",Thành phố Vũng Tàu,30,10.35321,107.08799,REGULAR,,5-homlink_503,private_room,12,False,,/ đêm,604.494,₫604.494,2,,True,True,,True,,True,,,,True,,,False,False,True,3,True,,,False,,,,,,,True,,,,,,,,,,,,,
812171994844219652,https://www.airbnb.com.vn/rooms/812171994844219652,"5,0",Vũng Tàu,30,10.3500335,107.0961128,REGULAR,,Căn hộ  hướng biển Vũng tàu,entire_home,3,False,,/ đêm,,,4,True,True,True,True,True,True,True,,,,,True,,False,,,,,,,,True,,,,,,,,,,,,,,,,,,,
868711242325347267,https://www.airbnb.com.vn/rooms/868711242325347267,,Vũng Tàu,30,10.364424365287611,107.12617445737123,REGULAR,,Căn hộ tắm biển-nghỉ dưỡng.Đến sẽ thích-về sẽ vui,entire_home,,False,,/ đêm,,,6,True,True,True,True,True,True,,,,,,True,,False,,,,,,True,,,,,,,,,,,True,,,,,,,,,,
806064017505473940,https://www.airbnb.com.vn/rooms/806064017505473940,,Vũng Tàu,15,10.34975,107.09538,REGULAR,,The Song Apartment - Ngày mai 3,entire_home,,False,,/ đêm,589.916,₫589.916,4,True,True,True,True,,True,,True,True,,,,,False,,,,,,True,,,,,,,,True,,,,,,,,,,,,,
868710624669809988,https://www.airbnb.com.vn/rooms/868710624669809988,,Vũng Tàu,29,10.34931,107.09622,REGULAR,,The Sóng Vũng Tàu - Căn hộ 5 sao,entire_home,,False,,/ đêm,,,4,True,True,True,True,,True,,True,True,True,,,,False,,,,,,True,,,,,,,,,,,,,,,,,,,,,
41412485,https://www.airbnb.com.vn/rooms/41412485,"4,41","Thang Tam Ward, Vung Tau City ",30,10.34529,107.09645,REGULAR,,"Căn hộ Luxury Sea View, Sơn Thịnh 2",entire_home,29,False,,/ đêm,1.603,₫1.603.305,10,,True,True,,,,,True,,True,,,,False,,,,,True,,False,,True,True,,,,,,,,,,,,,,,,True,
858137578965922204,https://www.airbnb.com.vn/rooms/858137578965922204,,Vũng Tàu,25,10.35113,107.09645,REGULAR,,Căn hộ_TheSong Homestay,entire_home,,False,,/ đêm,,,5,True,True,True,True,True,True,True,,,,,,True,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,
41175004,https://www.airbnb.com.vn/rooms/41175004,,Thành phố Vũng Tàu,23,10.33545,107.08929,REGULAR,,Ice ice's House  - Gold Sea Apartment- Sea View,entire_home,,False,,/ đêm,1.012,₫1.012.601,7,True,True,True,True,,True,,True,True,True,,,,False,,,,,True,,,,,,,,,,,,,,,,,,,,,,
892313866147909553,https://www.airbnb.com.vn/rooms/892313866147909553,,Vũng Tàu,10,10.3523501,107.0945674,REGULAR,,Căn hộ cho thuê theo ngày tháng,entire_home,,False,,/ đêm,,,6,,True,True,True,True,,,True,,,,,,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,
