room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_MOUNTAIN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_SNOWFLAKE,SYSTEM_FIREPIT,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_WASHER,SYSTEM_VIEW_CITY,SYSTEM_TV,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_DRYER,SYSTEM_ELEVATOR,SYSTEM_BOAT_SAIL,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BATHTUB,SYSTEM_FIREPLACE,SYSTEM_MAPS_RESORT,SYSTEM_SMOKING_ALLOWED,SYSTEM_CALENDAR,SYSTEM_GYM,SYSTEM_GOLF,SYSTEM_EV_CHARGER,SYSTEM_BEACH,SYSTEM_PIANO
794837436927576043,https://www.airbnb.com.vn/rooms/794837436927576043,,Phúc Yên,30,21.35227595706491,105.7464887201786,REGULAR,,Biệt Thự GV29 _ Đại Lải Flamingo,entire_home,,False,,/ đêm,4.564,₫4.564.708,6,,True,True,True,True,True,True,,False,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674085966970295037,https://www.airbnb.com.vn/rooms/674085966970295037,,Minh Phú,10,21.27424,105.77665,REGULAR,,"Sausau, In to the forest, Close to Noi Bai Airport",entire_home,,False,,/ đêm,3.216,₫3.216.483,6,True,True,True,True,,True,True,,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705328234842452115,https://www.airbnb.com.vn/rooms/705328234842452115,"5,0",Mai Đình,23,21.28139,105.78993,REGULAR,,"Biệt thự Villatel Sóc Sơn 4 phòng ngủ, 5wc",entire_home,4,False,,/ đêm,7.339,₫7.339.062,16,,True,True,True,True,True,True,,False,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768393757825792782,https://www.airbnb.com.vn/rooms/768393757825792782,,Phúc Yên,26,21.345198845834172,105.71999656545425,REGULAR,,Rosee Villa - Villa Serenity in Flamigo Dai Lai,entire_home,,False,,/ đêm,,,10,,True,True,True,True,True,,,,,True,True,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,
45408917,https://www.airbnb.com.vn/rooms/45408917,,Sóc Sơn,30,21.29568,105.78473,REGULAR,,Nhà Bên Rừng (U Lesa) - Nhà Cung Trăng,entire_home,,False,,/ đêm,1.798,₫1.798.800,4,,,True,,True,,,,False,False,,,,True,,,,,,,,,,,True,,,,,True,,,,,,,,,,,
28531446,https://www.airbnb.com.vn/rooms/28531446,"4,25",Ha Noi,30,21.22016,105.78221,REGULAR,,Khách sạn & Du lịch Làng Việt,private_room,4,False,,/ đêm,802.991,₫802.991,16,,True,True,,True,,,True,False,False,,,,True,,,,,,True,,True,,,,,,True,,,,,,,,,,,,,
876846413073953738,https://www.airbnb.com.vn/rooms/876846413073953738,,Tam Dao,23,21.454168834352334,105.64228083159941,REGULAR,,"Phòng ngủ lớn, view thung lũng",private_room,,False,,/ đêm,,,2,,True,True,True,True,True,,,False,,,,True,,,False,True,,True,True,,True,,,,,,,,,,,,,,,,,,,
31686892,https://www.airbnb.com.vn/rooms/31686892,,Ha Noi,30,21.21877,105.78239,REGULAR,,Khách sạn & Du lịch Làng Việt,private_room,,False,,/ đêm,802.991,₫802.991,16,,True,True,,True,,True,True,,,,,,True,,,,,,True,,True,,,,,,True,,,,True,,,,,,,,,
49841839,https://www.airbnb.com.vn/rooms/49841839,,Minh Phú,25,21.29414,105.78619,REGULAR,,Nhà Bên Rừng (U Lesa) - Nhà Dương xỉ,entire_home,,False,,/ đêm,2.398,₫2.398.800,8,,,True,True,True,,,,False,False,,,,True,,,,,,,,,,,True,,True,,,True,,,,,,,,,,,
628868524711238369,https://www.airbnb.com.vn/rooms/628868524711238369,,Phúc Yên,11,21.324593556067057,105.72422102093697,REGULAR,,Nhà gỗ Đại Lải VIP1,private_room,,False,,/ đêm,,,1,True,True,True,True,,,,,False,False,,True,True,,,False,True,,True,,,,,,,,,,,,,,,True,,,,,,,
