room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_PATIO_BALCONY,SYSTEM_JACUZZI,SYSTEM_BATHTUB,SYSTEM_LUGGAGE_DROP,rating,reviewCount,SYSTEM_VIEW_CITY,SYSTEM_HAIRDRYER,SYSTEM_FIREPIT,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_TOYS,SYSTEM_SAUNA,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_NO_LOCK_ON_DOOR,yearHosting,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_REFRIGERATOR,SYSTEM_BOAT_SAIL,SYSTEM_GYM,SYSTEM_HIGH_CHAIR,SYSTEM_MAPS_RESORT
6079839,https://www.airbnb.com.vn/rooms/6079839,Xuân Mai,19,20.8872,105.5653,REGULAR,,Nhà ở nông thôn,entire_home,False,,/ đêm,1.141,₫1.141.177,8.0,,,True,True,True,,,,False,False,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,
42694460,https://www.airbnb.com.vn/rooms/42694460,Yên Bài,22,21.03516,105.43033,REGULAR,,Homestay Ba Vì dành cho gia đình,entire_home,False,,/ đêm,2.852,₫2.852.943,8.0,,,True,,,True,True,,,,True,True,,True,,True,,,,,,,True,,,,,,,,,,,,True,,True,,,,
37949837,https://www.airbnb.com.vn/rooms/37949837,Ba Vì,11,21.10556,105.39905,REGULAR,,"Nông trại Detrang - ""Nông trại xanh, sống yên bình""",private_room,False,,/ đêm,1.141,₫1.141.177,4.0,,,True,True,,True,,True,,,True,True,,True,True,,,,,,,,,,False,True,True,,,,True,,,,,,,,,,
20610577,https://www.airbnb.com.vn/rooms/20610577,Hạ Bì,8,20.685,105.51854,REGULAR,,★New cozy apartment fromThanh Hoa Nguyễn Th Thương,entire_home,False,,/ đêm,1.338,₫1.338.284,5.0,,,True,True,,True,,,,,,True,,True,True,,,,,,,,True,,,,,,,True,True,,,,,True,,,,,
24466171,https://www.airbnb.com.vn/rooms/24466171,,30,20.62548,105.21526,REGULAR,,Mường Bi Homesay - Phòng ký túc xá,shared_room,False,,/ đêm,1.141,₫1.141.177,10.0,,True,True,True,True,True,,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35104192,https://www.airbnb.com.vn/rooms/35104192,Yên Bài,22,21.03858,105.44637,REGULAR,,CÁC ƯU ĐÃI VỚI TRANG TRẠI HOA HỒNG,entire_home,False,,/ đêm,,,2.0,,,True,True,,True,True,,False,False,,,True,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,
647455592923709629,https://www.airbnb.com.vn/rooms/647455592923709629,Ba Vì,19,21.11193,105.31836,REGULAR,,Phòng ngọt ngào đáng yêu với tầm nhìn ra núi Ba Vì,entire_home,False,,/ đêm,,,2.0,True,,True,True,,True,,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
34017942,https://www.airbnb.com.vn/rooms/34017942,Thành phố Hòa Bình,10,20.83484,105.33547,REGULAR,,cho thue nha 437-383 hoang van thu hoa binh,entire_home,False,,/ đêm,2.837,₫2.837.164,4.0,,,True,True,,,True,True,False,False,,,,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,
31550606,https://www.airbnb.com.vn/rooms/31550606,Ba Vì,16,21.04918,105.42269,REGULAR,,Biệt thự Hoa Hồng - Ba Vì - Phòng riêng 3,private_room,False,,/ đêm,684.706,₫684.706,2.0,,,True,True,,True,,True,False,False,,True,,True,True,,,,,,,,,,False,False,,,,,,False,,,,,,,,,
33047633,https://www.airbnb.com.vn/rooms/33047633,Đông Xuân,18,20.94487,105.50462,REGULAR,,Ong & Kiến ở Haven - Ngôi nhà trên đồi,private_room,False,,/ đêm,1.710,₫1.710.624,2.0,,,True,,,True,,True,False,,,,,,,,True,,,,,,True,,False,True,True,,,,,,,True,,True,,,,,
