room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,price,price_full,SYSTEM_SNOWFLAKE,SYSTEM_SMOKING_ALLOWED,SYSTEM_PETS,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_LUGGAGE_DROP,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_POOL,SYSTEM_BREAKFAST,SYSTEM_FIREPLACE,SYSTEM_NO_LOCK_ON_DOOR
881436856386768230,https://www.airbnb.com.vn/rooms/881436856386768230,Lạng Sơn,8,21.82499243509975,106.77416939288378,REGULAR,,Căn nhà nhỏ trong đồi thông,entire_home,False,,/ đêm,4.0,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,
793816386331802924,https://www.airbnb.com.vn/rooms/793816386331802924,Thành phố Lạng Sơn,30,21.85125,106.75686,REGULAR,,căn hộ 3 phòng ngủ camellia home,entire_home,False,,/ đêm,6.0,True,,True,,True,,True,True,False,False,1.199,₫1.199.506,True,True,,,,,,,,,,,,,
881576849471271605,https://www.airbnb.com.vn/rooms/881576849471271605,Thành phố Lạng Sơn,8,21.826,106.75298,REGULAR,,Căn nhà nhỏ trong rừng bạch đàn,entire_home,False,,/ đêm,4.0,True,True,True,True,True,True,,True,False,False,,,,,True,,,,,,,,,,,,
655268283651309409,https://www.airbnb.com.vn/rooms/655268283651309409,Thành phố Lạng Sơn,12,21.848,106.76687,REGULAR,,Lang Son*Trung tâm*Phong cách* Kiểm soát phòng thông minh *BB Incl,private_room,False,,/ đêm,4.0,,True,True,True,True,,,,False,,1.090,₫1.090.000,True,,,True,True,True,True,,,,,,,,
799460538519905526,https://www.airbnb.com.vn/rooms/799460538519905526,Thành phố Lạng Sơn,5,21.856194195784663,106.75592802464962,REGULAR,,Gần phố đi bộ trung tâm thành phố- nguyễn văn ninh,private_room,False,,/ đêm,2.0,,True,True,,True,,True,True,False,False,592.727,₫592.727,True,,,,True,,,False,True,True,,,,,
793776344260919566,https://www.airbnb.com.vn/rooms/793776344260919566,Thành phố Lạng Sơn,22,21.850874125066216,106.75654419220427,REGULAR,,nhà 2 phòng ngủ camellia home,entire_home,False,,/ đêm,4.0,True,,True,,True,,True,True,False,False,571.972,₫571.972,True,True,,,,,,,,,,,,,
785840845257378232,https://www.airbnb.com.vn/rooms/785840845257378232,Thành phố Lạng Sơn,10,21.86029,106.76857,REGULAR,,Nhà Nghỉ Xuân Mai Lạng sơn - 1 Giường Đôi,private_room,False,,/ đêm,2.0,,,True,,True,,True,True,,,342.353,₫342.353,True,,,,True,,,,,,,,,,
39077474,https://www.airbnb.com.vn/rooms/39077474,Thành phố Lạng Sơn,30,21.86181,106.76123,REGULAR,,Sống cùng gia đình bản xứ vui vẻ Phòng riêng 2 người ở Lạng sơn,private_room,False,,/ đêm,2.0,,True,True,,True,,True,,False,False,285.294,₫285.294,True,,,,True,,,False,False,True,True,,,,
48795729,https://www.airbnb.com.vn/rooms/48795729,Thành phố Lạng Sơn,10,21.83802,106.76178,REGULAR,,An Khang Hotel - Peacful city,private_room,False,,/ đêm,2.0,,,True,True,True,,True,,False,False,344.680,₫344.680,True,,,True,,,,,,,True,,,,
785855538893057434,https://www.airbnb.com.vn/rooms/785855538893057434,Thành phố Lạng Sơn,10,21.86042,106.76932,REGULAR,,Nhà Nghỉ Xuân Mai Lạng Sơn - 2 Giường Đôi,private_room,False,,/ đêm,4.0,,,True,,True,,True,True,,,,,True,,,,True,,,,,,,,,,
