room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_TV,isSuperHost,isVerified,SYSTEM_POOL,SYSTEM_FIREPIT,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_GOLF,SYSTEM_BEACH,SYSTEM_LOCK_ON_DOOR,SYSTEM_JACUZZI,SYSTEM_ELEVATOR,SYSTEM_PETS,SYSTEM_HAIRDRYER,SYSTEM_VIEW_CITY,yearHosting,SYSTEM_PATIO_BALCONY,SYSTEM_REFRIGERATOR,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_VIEW_OCEAN,SYSTEM_LUGGAGE_DROP,SYSTEM_FIREPLACE,SYSTEM_BABY_BATH,SYSTEM_GYM
33944271,https://www.airbnb.com.vn/rooms/33944271,,Thành phố Vinh,10,18.67497,105.68663,REGULAR,,cho thue nha 98-114 nguyen van cu nghe an,entire_home,,False,,/ đêm,2.810,₫2.810.419,4.0,True,True,,True,True,,,,False,False,True,,,True,,,,,,,,,True,,,,,,,,,,,,
34020143,https://www.airbnb.com.vn/rooms/34020143,,Thành phố Vinh,10,18.71181,105.67436,REGULAR,,cho thue nha 98 mai lao bang vinh nghe an,entire_home,,False,,/ đêm,2.890,₫2.890.707,4.0,True,True,,,True,True,,,False,False,True,,,True,,,,,,,,,True,,,,,,,,,,,,
34106408,https://www.airbnb.com.vn/rooms/34106408,,Thành phố Vinh,10,18.69047,105.67968,REGULAR,,cho thue nha 70 duong ha huy tap nghe an,entire_home,,False,,/ đêm,2.810,₫2.810.419,1.0,True,True,,True,,,,,False,False,True,,,,,,,,,,,,True,,,,,,,,,,,,
35427724,https://www.airbnb.com.vn/rooms/35427724,,Thành phố Vinh,9,18.69473,105.68116,REGULAR,,cho thue nha 127-109 pham dinh toai,entire_home,,False,,/ đêm,2.837,₫2.837.157,1.0,True,True,,True,,,,,False,False,True,,,,,,,,,,,,True,,,,,,,,,,,,
35685849,https://www.airbnb.com.vn/rooms/35685849,,Thành phố Vinh,10,18.67984,105.70185,REGULAR,,cho thue nha 58 nguyen sy que,entire_home,,False,,/ đêm,2.863,₫2.863.958,1.0,True,True,,True,,,,,False,False,True,,,,,,,,,,,,True,,,,,,,,,,,,
33977530,https://www.airbnb.com.vn/rooms/33977530,,Thành phố Vinh,10,18.70658,105.67948,REGULAR,,cho thue chung cu 87 xo viet nghe tinh nghe an,entire_home,,False,,/ đêm,2.890,₫2.890.727,4.0,True,True,,,True,True,,,False,False,True,,,True,,,,,,,,,True,,,,,,,,,,,,
33888045,https://www.airbnb.com.vn/rooms/33888045,,Thành phố Vinh,10,18.70106,105.68382,REGULAR,,Cho Thue Chung Cu 898 Hoang Hoan,entire_home,,False,,/ đêm,2.810,₫2.810.419,4.0,True,True,,True,,,True,,False,False,True,,,True,,,,,,,,,True,,,,,,,,,,,,True
34155175,https://www.airbnb.com.vn/rooms/34155175,,Thành phố Vinh,10,18.66822,105.67912,REGULAR,,cho thue 34-74 dinh cong trang,entire_home,,False,,/ đêm,2.837,₫2.837.157,1.0,True,True,,,,,,,False,False,True,,,,,,,,,,,,True,,,,,,,,,,,,
33561597,https://www.airbnb.com.vn/rooms/33561597,,Thành phố Vinh,10,18.70278,105.68237,REGULAR,,Cho thue nha trung tam xet nghiem y khoa lac viet,entire_home,,False,,/ đêm,2.890,₫2.890.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34380173,https://www.airbnb.com.vn/rooms/34380173,,Thành phố Vinh,10,18.67557,105.69102,REGULAR,,cho thue nha 144 duong le hong phong,entire_home,,False,,/ đêm,2.837,₫2.837.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34801385,https://www.airbnb.com.vn/rooms/34801385,,Thành phố Vinh,10,18.70509,105.67264,REGULAR,,cho thue nha 55-15 nguyen trai,entire_home,,False,,/ đêm,2.837,₫2.837.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34354890,https://www.airbnb.com.vn/rooms/34354890,,Thành phố Vinh,10,18.68098,105.6812,REGULAR,,cho thue nha 28 nguyen quoc tr,entire_home,,False,,/ đêm,2.837,₫2.837.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26612426,https://www.airbnb.com.vn/rooms/26612426,,Nghe An,10,18.68901,105.67617,REGULAR,,Lalaland Apartment,entire_home,,False,,/ đêm,1.932,₫1.932.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34789941,https://www.airbnb.com.vn/rooms/34789941,,Thành phố Vinh,8,18.68311,105.6977,REGULAR,,cho thue nha 138 duong nguyen phong sac,entire_home,,False,,/ đêm,2.837,₫2.837.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33902874,https://www.airbnb.com.vn/rooms/33902874,,Thành phố Vinh,10,18.68422,105.68322,REGULAR,,cho thue chung cu 349 nguyen van cu nghe an,entire_home,,False,,/ đêm,2.810,₫2.810.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35206148,https://www.airbnb.com.vn/rooms/35206148,,Thành phố Vinh,11,18.70352,105.6794,REGULAR,,cho thue nha 59-33 hoang phan thai,entire_home,,False,,/ đêm,2.863,₫2.863.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34847110,https://www.airbnb.com.vn/rooms/34847110,,Thành phố Vinh,10,18.67014,105.68843,REGULAR,,cho thue nha 4 ho tung mau,entire_home,,False,,/ đêm,2.863,₫2.863.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
