room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,isSuperHost,isVerified,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_COOKING_BASICS,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_DRYER,rating,reviewCount,price,price_full,SYSTEM_VIEW_MOUNTAIN,SYSTEM_VIEW_OCEAN,SYSTEM_SNOWFLAKE,yearHosting,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_BREAKFAST,SYSTEM_FIREPLACE,SYSTEM_POOL,SYSTEM_FIREPIT,SYSTEM_ELEVATOR,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_SMOKING_ALLOWED,SYSTEM_JACUZZI,SYSTEM_EV_CHARGER,SYSTEM_BATHTUB,SYSTEM_GYM,SYSTEM_CALENDAR,SYSTEM_REFRIGERATOR,SYSTEM_HIGH_CHAIR,SYSTEM_MAPS_RESORT,SYSTEM_SKI
767375850825002557,https://www.airbnb.com.vn/rooms/767375850825002557,Thành phố Hà Giang,5,22.816,104.96351,REGULAR,,Hà Giang Ali Hostel 6 Mix Dorm,shared_room,,,False,,/ đêm,1,,,,True,,True,,True,False,False,,,True,,,,248.474,₫248.474,,True,,,,,,,,True,,,,,,,,,,,,,
42439900,https://www.airbnb.com.vn/rooms/42439900,tt. Đồng Văn,12,23.27739,105.36199,REGULAR,,Dorm- ethnichouse- restaurant-bar,shared_room,,,False,,/ đêm,1,,,,True,,True,,,False,False,,,,,,,136.941,₫136.941,,,True,,,True,True,,,,True,,,,,,,,,,,,
42439515,https://www.airbnb.com.vn/rooms/42439515,tt. Đồng Văn,16,23.27967,105.36148,REGULAR,,Dorm- ethnichouse- Restaurant- bar,shared_room,,,False,,/ đêm,1,,,,True,,True,,,False,False,,,,,,,,,,,True,,,True,True,,,,True,,,,,,,,,,,,
653498231859571776,https://www.airbnb.com.vn/rooms/653498231859571776,Thành phố Hà Giang,11,22.81459,104.96194,REGULAR,,Nhà trọ Hà Giang Ali Phòng tập thể 6 nữ,shared_room,,,False,,/ đêm,6,,,,True,,True,,True,False,False,True,True,True,,,,250.000,₫250.000,,,True,,,,,,,True,,,,,,,,,,,,,
882359359994558259,https://www.airbnb.com.vn/rooms/882359359994558259,Thành phố Hà Giang,5,22.82889,104.98474,REGULAR,,Family Room-YenBien Luxury Hotel,private_room,,,False,,/ đêm,3,,,,True,,True,,True,,,,True,,,,,1.825,₫1.825.883,,,True,,,,,,True,,,,,,,,,,,,,,
42146143,https://www.airbnb.com.vn/rooms/42146143,Thành phố Hà Giang,10,22.82415,104.98605,REGULAR,,Phòng thân thiện Seu' House,shared_room,,,False,,/ đêm,6,,,,True,,True,True,,False,False,True,,True,True,,,547.765,₫547.765,,,True,,,True,,,,,,,,,,,,,,,,,
882355841394205926,https://www.airbnb.com.vn/rooms/882355841394205926,Thành phố Hà Giang,5,22.82987,104.98329,REGULAR,,Family Room-YenBien Luxury Hotel,private_room,,,False,,/ đêm,3,,,,True,,True,,True,,,,True,,,,,1.825,₫1.825.883,,,True,,,,,,True,,,,,,,,,,,,,,
15749164,https://www.airbnb.com.vn/rooms/15749164,,12,22.83636,104.94705,REGULAR,,Bàn Tay Nhà Truyền Thống trong Cadet,shared_room,,,False,,/ đêm,12,,,,True,,True,True,,False,False,True,True,,,,,267.664,₫267.664,,,,,,,True,,,,,,,True,,,,,,,,,
27022284,https://www.airbnb.com.vn/rooms/27022284,Hà Giang,10,22.83055,104.98445,REGULAR,,Ong Vang Ha Giang,private_room,,,False,,/ đêm,8,,,,True,,True,,,False,False,True,,,,,,513.530,₫513.530,,,,,,,,,,,,,,,,,,,,,,,
21541476,https://www.airbnb.com.vn/rooms/21541476,tt. Việt Quang,15,22.4169,104.81116,REGULAR,,Cho thuê căn hộ 3 phòng ngủ Lộc Thũy,entire_home,,,False,,/ đêm,6,,,,True,,True,,,,,True,True,True,True,,,1.391,₫1.391.840,,,True,,,,,,True,,True,,,,True,,,,,,,,
