room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_JACUZZI,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,price,price_full,SYSTEM_VIEW_OCEAN,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_SURVEILLANCE,SYSTEM_BEACH,SYSTEM_WORKSPACE,SYSTEM_ELEVATOR,isSuperHost,isVerified,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_GYM,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_FLOWER
37039179,https://www.airbnb.com.vn/rooms/37039179,Thành phố Hải Dương,10,20.93813,106.3235,REGULAR,,Green Start 79 Pham Ngu Lao cho thue,entire_home,False,,/ đêm,4,True,True,,True,,,,False,False,2.810,₫2.810.419,,True,True,True,True,,,,True,,,,,,,,,
34017153,https://www.airbnb.com.vn/rooms/34017153,Thành phố Hải Dương,10,20.93754,106.31273,REGULAR,,cho thue chung cu 42 nguyen thi due hai duong,entire_home,False,,/ đêm,4,True,True,,True,True,,,False,False,2.890,₫2.890.727,,,True,True,True,,,,,,,,,,,,,
35615854,https://www.airbnb.com.vn/rooms/35615854,Thành phố Hải Dương,10,20.93751,106.32854,REGULAR,,cho thue nha 50-52 dai lo ho chi minh,entire_home,False,,/ đêm,1,True,True,,,,,,False,False,2.863,₫2.863.936,,True,,True,True,,,,,,,,,,,,,
22068811,https://www.airbnb.com.vn/rooms/22068811,Hải Dương,7,20.93138,106.29487,REGULAR,,CT Golden Land 111m² HẢI DƯƠNG ACB,entire_home,False,,/ đêm,5,True,True,,True,True,,,False,,2.810,₫2.810.426,,True,True,True,True,,,,True,,,,,,,,,
35400868,https://www.airbnb.com.vn/rooms/35400868,Thành phố Hải Dương,10,20.9403,106.32213,REGULAR,,cho thue nha 137 tue tinh,entire_home,False,,/ đêm,1,True,True,,,,,,False,False,2.863,₫2.863.936,,True,,True,True,,,,,,,,,,,,,
35618536,https://www.airbnb.com.vn/rooms/35618536,Thành phố Hải Dương,10,20.93469,106.31459,REGULAR,,cho thue nha 201-155 ngo quyen,entire_home,False,,/ đêm,1,True,True,,,,,,False,False,2.863,₫2.863.943,,True,,True,True,,,,,,,,,,,,,
33984867,https://www.airbnb.com.vn/rooms/33984867,Thành phố Hải Dương,10,20.94204,106.31892,REGULAR,,cho thue 83 tue tinh hai duong,entire_home,False,,/ đêm,4,True,True,,True,True,,,False,False,2.890,₫2.890.727,,,True,True,True,,,,,,,,,,,,,
25040263,https://www.airbnb.com.vn/rooms/25040263,Hải Dương,10,20.94002,106.32527,REGULAR,,Estella 1183 full Quang Binh,private_room,False,,/ đêm,3,,True,,True,,True,,False,False,2.890,₫2.890.707,,True,True,True,True,,,,,False,False,False,,,,,,
33918172,https://www.airbnb.com.vn/rooms/33918172,Thành phố Hải Dương,10,20.93659,106.31311,REGULAR,,cjo thue nha 124-180 nguyen luong bang hai duong,entire_home,False,,/ đêm,4,True,True,,True,True,,,False,False,2.810,₫2.810.426,,,True,True,True,,,,,,,,,,,,,
25024855,https://www.airbnb.com.vn/rooms/25024855,Hải Dương,10,20.93755,106.31594,REGULAR,,"diện tích 81m2, có 2 phòng ngủ, 2 toilet mới 100%",entire_home,False,,/ đêm,1,True,True,True,True,,,,False,False,2.783,₫2.783.654,,True,True,True,True,,,,,,,,,,,,,
35589308,https://www.airbnb.com.vn/rooms/35589308,Thành phố Hải Dương,10,20.94272,106.32179,REGULAR,,cho thue nha 160 an thai,entire_home,False,,/ đêm,1,True,True,,,,,,False,False,2.890,₫2.890.696,,True,,True,True,,,,,,,,,,,,,
25343879,https://www.airbnb.com.vn/rooms/25343879,Thành phố Hải Dương,9,20.9406,106.33336,REGULAR,,"ALFI Vista 4 phòng ngủ, 1 phòng tắm 23",entire_home,False,,/ đêm,4,True,True,True,True,,,,False,False,2.890,₫2.890.707,,True,,True,True,,,,True,,,,,,,,,
28296746,https://www.airbnb.com.vn/rooms/28296746,Thạch Lỗi,5,20.97007,106.19489,REGULAR,,Thạch Lỗi Farm Stay,entire_home,False,,/ đêm,8,,,,,,True,,False,,1.070,₫1.070.653,,,,True,True,,,,,,,,,,True,,,
33951370,https://www.airbnb.com.vn/rooms/33951370,Thành phố Hải Dương,10,20.93943,106.30993,REGULAR,,cho thue chung cu 103-79 nguyen thi due hai duong,entire_home,False,,/ đêm,4,True,True,,,True,,,False,False,2.810,₫2.810.426,,True,True,,True,,,,,,,,,,,,,
26627272,https://www.airbnb.com.vn/rooms/26627272,Cộng Hoà,5,21.01079,106.39238,REGULAR,,Nhà Xanh,entire_home,False,,/ đêm,3,True,True,,True,True,True,True,False,False,2.007,₫2.007.442,,,,,True,,,,,,,,,,,,,
21442181,https://www.airbnb.com.vn/rooms/21442181,Hải Dương,6,20.94309,106.32255,REGULAR,,CHUYÊN CHO THUÊ CĂN HỘ VINHOME OPT,entire_home,False,,/ đêm,1,,True,True,True,True,,,False,False,2.810,₫2.810.419,,True,,True,True,,,,True,,,,,,,,,
26628302,https://www.airbnb.com.vn/rooms/26628302,Thanh Lang,5,20.94501,106.46778,REGULAR,,chào mừng,entire_home,False,,/ đêm,3,True,True,,True,True,True,True,False,False,2.007,₫2.007.429,,,,,True,,,,,,,,,,,,,
32963401,https://www.airbnb.com.vn/rooms/32963401,Ho Chi Minh,5,20.86565,106.56182,REGULAR,,Nơi đẹp và thuận tiện,entire_home,False,,/ đêm,8,True,True,,True,,True,True,False,,1.284,₫1.284.763,,,,,True,,,,True,,,,,,,,,
28161764,https://www.airbnb.com.vn/rooms/28161764,Hồng Bàng,21,20.89132,106.60215,REGULAR,,CanhHung Palace,private_room,False,,/ đêm,2,,,,,,,,False,False,1.873,₫1.873.617,,,,True,,,,,,False,True,False,,,,True,,
27815322,https://www.airbnb.com.vn/rooms/27815322,Quảng Ninh,8,21.05461,106.60136,REGULAR,,Nhà Mao Khê,entire_home,False,,/ đêm,2,True,True,True,True,True,,,False,,2.007,₫2.007.429,,True,True,True,True,,,,,,,,,,,,,
35565615,https://www.airbnb.com.vn/rooms/35565615,Thành phố Hải Dương,10,20.93194,106.3107,REGULAR,,cho thue nha 166-68 do ngoc du,entire_home,False,,/ đêm,1,True,True,,,,,,False,False,2.837,₫2.837.157,,True,,True,,,,,,,,,,,,,,
34377486,https://www.airbnb.com.vn/rooms/34377486,Thành phố Hải Dương,10,20.93447,106.31693,REGULAR,,cho thue nha 10-58 ba trieu,entire_home,False,,/ đêm,1,True,True,,,,,,False,False,2.810,₫2.810.426,,True,,True,True,,,,,,,,,,,,,
608592429856109653,https://www.airbnb.com.vn/rooms/608592429856109653,Hải Dương,9,20.91878,106.33956,REGULAR,,"Biệt thự mới tuyệt vời 4 giường, 6 phòng tắm, cửa hàng/văn phòng",entire_home,False,,/ đêm,6,True,True,True,True,,,,False,False,970.001,₫970.001,,True,,,True,True,,True,,,,,,,,,,
20890016,https://www.airbnb.com.vn/rooms/20890016,Thị xã Chí Linh,7,21.08446,106.35195,REGULAR,,3 người có thể ở lại - Thị Quyên,entire_home,False,,/ đêm,3,True,True,,True,True,True,,,,856.494,₫856.494,,True,,True,True,,,,True,,,,,,,,True,
27815545,https://www.airbnb.com.vn/rooms/27815545,Thị xã Chí Linh,6,21.10827,106.3843,REGULAR,,Vùng đất của những người nổi tiếng,entire_home,False,,/ đêm,2,True,True,True,True,True,True,,False,,2.007,₫2.007.429,,True,,True,True,,,,,,,,,,,,,
38094855,https://www.airbnb.com.vn/rooms/38094855,Hải Dương,11,21.03692,106.58066,REGULAR,,"Nhà nằm ở góc đường Kinh Môn, Hải Dương",entire_home,False,,/ đêm,2,True,True,,,,True,,,,535.311,₫535.311,,True,,,True,,,,,,,,,,,,,
19320252,https://www.airbnb.com.vn/rooms/19320252,Thị xã Chí Linh,6,21.11314,106.48187,REGULAR,,Căn hộ Hải Dương Tầm nhìn tuyệt vời Thị Nghè,entire_home,False,,/ đêm,5,True,True,,True,True,True,True,,,1.338,₫1.338.278,,True,,,True,,,,True,,,,,,,,True,
20287284,https://www.airbnb.com.vn/rooms/20287284,,11,20.82962,106.29863,REGULAR,,"Căn hộ tại Hải Hưng , Việt Nam Văn Thụ",entire_home,False,,/ đêm,3,True,True,True,True,True,True,,,,910.037,₫910.037,,True,True,,True,,,,True,,,,,,,,,
19792265,https://www.airbnb.com.vn/rooms/19792265,Thị xã Chí Linh,8,21.11929,106.31595,REGULAR,,vị trí hoàn hảo! hiện đại! nội thất mới! Văn Quyền,entire_home,False,,/ đêm,5,True,True,,True,True,True,True,,,1.338,₫1.338.270,,True,,,True,,,,True,,,,,,,,True,
22028455,https://www.airbnb.com.vn/rooms/22028455,Quỳnh Phụ,9,20.69748,106.3343,REGULAR,,Gia đình bản xứ Đinh Hùng entri House,entire_home,False,,/ đêm,6,True,True,,True,True,True,,False,False,1.391,₫1.391.840,,True,,,True,,,,,,,,,,,,,
24318340,https://www.airbnb.com.vn/rooms/24318340,Mỹ Đức,5,20.7661,106.58648,REGULAR,,xem Biệt thự đặc biệt B3/2 Phòng ngủ Thành phố Hải Phòng,entire_home,False,,/ đêm,8,True,True,,True,True,True,,,,1.418,₫1.418.579,,True,True,,True,,,,,,,,,True,,,,
37346808,https://www.airbnb.com.vn/rooms/37346808,Hồng Bàng,23,20.89118,106.60242,REGULAR,,Hostal Met Madrid,entire_home,False,,/ đêm,3,True,True,,True,,True,,,,2.510,₫2.510.589,,,,True,True,,,,,,,,,,,True,,
19199709,https://www.airbnb.com.vn/rooms/19199709,,8,21.07595,106.2172,REGULAR,,Khách sạn Trần Mũi tại Bắc Ninh,private_room,False,,/ đêm,1,True,True,,True,True,True,,,,669.159,₫669.159,,True,,,True,,,,True,False,True,,True,,,,True,
