room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_CITY,SYSTEM_VIEW_MOUNTAIN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_LOCK_ON_DOOR,SYSTEM_WORKSPACE,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_FLOWER,SYSTEM_ELEVATOR,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SMOKING_ALLOWED,SYSTEM_CALENDAR,SYSTEM_VIEW_OCEAN,SYSTEM_PATIO_BALCONY,SYSTEM_BREAKFAST,SYSTEM_JACUZZI,SYSTEM_POOL,SYSTEM_REFRIGERATOR,SYSTEM_TOYS,SYSTEM_FIREPLACE,SYSTEM_BEACH,SYSTEM_EV_CHARGER,SYSTEM_BATHTUB,SYSTEM_GYM
36328962,https://www.airbnb.com.vn/rooms/36328962,"4,75",Thành phố Cao Bằng,30,22.66961,106.25521,REGULAR,,Sống cùng gia đình bản xứ cổ điển,entire_home,4,,,,False,,/ đêm,279.588,₫279.588,8.0,,,True,True,True,,,,False,False,,,,True,,True,,,,True,,,,,True,,,,,True,,,,
40296727,https://www.airbnb.com.vn/rooms/40296727,,Trùng Khánh,1,22.83437,106.52547,REGULAR,,Khách sạn Kim Thoa Trung Khánh,private_room,2,True,True,6,False,,/ đêm,433.647,₫433.647,6.0,,,,True,True,True,,False,False,False,,True,,,,True,,True,,True,,,,,,,,,,,,,,
42318504,https://www.airbnb.com.vn/rooms/42318504,,Thành phố Cao Bằng,14,22.66379,106.25748,REGULAR,,Khách sạn Kim Cương Gia Đình Bảo Ngọc Cao Bằng,private_room,,,,,False,,/ đêm,1.141,₫1.141.177,4.0,,,,True,True,True,,,False,,,,,,,True,,True,True,True,,True,,,,,,,,,,,,
30192162,https://www.airbnb.com.vn/rooms/30192162,"4,8",Nam Mẫu,13,22.40342,105.61945,REGULAR,,Nhà Nghỉ Sơn Lâm - Ba Bể,private_room,10,True,True,6,False,,/ đêm,342.353,₫342.353,4.0,,,True,True,True,True,,False,False,,,True,,True,,,,,,,,,True,,,,,,,,,,,
32542869,https://www.airbnb.com.vn/rooms/32542869,,Đàm Thuỷ,26,22.85342,106.70018,REGULAR,,Sống cùng gia đình bản xứ May Linh Thác Bản Giốc - Cao Bằng,shared_room,,,,,False,,/ đêm,268.177,₫268.177,10.0,,,True,True,True,True,,,False,False,,,True,True,,,,,,True,,,,,,,,,,True,,,,
40925289,https://www.airbnb.com.vn/rooms/40925289,,tt. Bảo Lạc,30,22.95287,105.68243,REGULAR,,Bao Lac Homestay ( Kha Rao Village) - Phòng riêng,private_room,,False,True,,False,,/ đêm,456.471,₫456.471,2.0,,,True,True,True,True,,False,False,False,,,,True,,,,,,True,,,,,True,,,,,,,,,
46344679,https://www.airbnb.com.vn/rooms/46344679,,Kim Cúc,14,22.87681,105.69624,REGULAR,,Gia đình bản xứ thoải mái trong làng dân tộc với khung cảnh lúa nước,private_room,,,,,False,,/ đêm,582.000,₫582.000,2.0,,,,,,,,,False,False,,,,,,,True,,,,,,,True,,,,,,,,,,
42659143,https://www.airbnb.com.vn/rooms/42659143,,Thành phố Cao Bằng,23,22.66373,106.25754,REGULAR,,Phòng đôi Bảo Ngọc Diamond Hotel Cao Bằng,private_room,,,,,False,,/ đêm,513.530,₫513.530,2.0,,,True,True,True,True,,,False,False,,,,,,True,,True,True,,,,,True,,,,,,,,,,
639659386754348934,https://www.airbnb.com.vn/rooms/639659386754348934,,Thành phố Cao Bằng,7,22.66435,106.26103,REPRESENTATIVE,,Phòng Twin,private_room,,,,,False,,/ đêm,1.000,₫1.000.000,2.0,,,,True,True,True,True,,,,,True,,True,,True,,,,,,,,,,,,,,,,,,
698137402407703457,https://www.airbnb.com.vn/rooms/698137402407703457,,Nam Mẫu,13,22.388151063968547,105.63858142650781,REGULAR,,"Hướng nhà nhìn ra hồ ,núi,sông phong cảnh đồng quê",private_room,,,,,False,,/ đêm,456.471,₫456.471,16.0,,True,,True,True,True,True,,False,False,,,,,,True,,,,,,,True,,,,,,,,,,,
887505028558649506,https://www.airbnb.com.vn/rooms/887505028558649506,,Ba Bể,30,22.3985959,105.6119454,REGULAR,,Ba Be Lakeside Bungalow - Private Isolate 202,private_room,,,,,False,,/ đêm,912.942,₫912.942,4.0,,True,,True,True,True,True,,False,False,,,,True,,,True,,,,,,True,,,,,,,,,,,
35484609,https://www.airbnb.com.vn/rooms/35484609,,Thành phố Cao Bằng,6,22.66795,106.25739,REGULAR,,Trung tam,private_room,,False,False,,False,,/ đêm,570.589,₫570.589,2.0,,,,True,,True,,False,False,False,,,,,,True,,,,,,,,,,,,,,,,,,
40876283,https://www.airbnb.com.vn/rooms/40876283,,Bảo Lạc,30,22.94702,105.67716,REGULAR,,Tour du lịch homestay và trekking Bảo Lạc - Phòng chung,shared_room,,,,,False,,/ đêm,310.195,₫310.195,1.0,,,True,True,True,True,True,,False,False,,True,,,,,,,,,,,True,,,True,,,,,,,,
46349249,https://www.airbnb.com.vn/rooms/46349249,,Kim Cúc,20,22.87658,105.69577,REGULAR,,Phòng gia đình ở làng dân tộc có sân thượng lúa,private_room,,,,,False,,/ đêm,696.118,₫696.118,4.0,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
640163654745090461,https://www.airbnb.com.vn/rooms/640163654745090461,,Thành phố Cao Bằng,7,22.66223,106.25937,REPRESENTATIVE,,Phòng Deluxe Twin,private_room,,,,,False,,/ đêm,1.100,₫1.100.000,2.0,,,,True,True,True,True,,,,,True,,True,,True,,,,,,,,,,,,,,,,,,
745828814325970346,https://www.airbnb.com.vn/rooms/745828814325970346,,Bắc Kạn,8,22.14486863106422,105.83550664610217,REGULAR,,Nhà Nghỉ Thủy Mười - Bắc Kạn,private_room,,,,,False,,/ đêm,399.412,₫399.412,4.0,True,,,True,True,True,True,,,,,True,,,,True,,,,,,,,True,,,,True,,,,,,
46762030,https://www.airbnb.com.vn/rooms/46762030,,Ba Bể,30,22.38842,105.63842,REGULAR,,Ba Be lake-Huyen Hao homestay,private_room,,,,,False,,/ đêm,267.656,₫267.656,10.0,,,True,True,True,True,,,,,,True,True,,,,,,,,,,True,,,True,,,,,True,True,,
50626643,https://www.airbnb.com.vn/rooms/50626643,,Nam Mau commune,24,22.39774,105.61072,REGULAR,,Gia đình bản xứ của Mr Linh - Phòng đôi Hoàng gia 1,private_room,,False,False,,False,,/ đêm,1.204,₫1.204.438,2.0,,,True,True,True,,,,False,False,True,,,,,True,,,,,,,,,,,,,,,,,,
33949801,https://www.airbnb.com.vn/rooms/33949801,,Nam Mẫu,12,22.39984,105.61705,REGULAR,,Sống cùng gia đình bản xứ Ba Bể - Nhà nghỉ Hải Đăng,private_room,,,,,False,,/ đêm,684.706,₫684.706,2.0,,,,,,,,,False,False,,,,,,True,,,,,,,,,True,,,,,,,,,
50627204,https://www.airbnb.com.vn/rooms/50627204,,Nam Mau commune,25,22.39934,105.61066,REGULAR,,Linh 's Homestay - Phòng đôi Hoàng gia 2,private_room,,False,False,,False,,/ đêm,1.204,₫1.204.438,2.0,,,True,True,True,,,,False,False,True,,,,,True,,,,,,,,,,True,,,,,,,,
42568557,https://www.airbnb.com.vn/rooms/42568557,,Thành phố Cao Bằng,4,22.66379,106.25748,REGULAR,,Phòng Deluxe Bảo Ngọc Diamond Hotel Cao Bằng,private_room,,,,,False,,/ đêm,1.027,₫1.027.059,2.0,,,,True,True,True,,,False,,,,,,,True,,True,True,True,,True,,,,,,,,,,,True,
887549634217842393,https://www.airbnb.com.vn/rooms/887549634217842393,,Ba Bể,30,22.3985959,105.6119454,REGULAR,,Ba Be Lakeside Bungalow - Big Group 2 (6 - 12),private_room,,,,,False,,/ đêm,2.738,₫2.738.825,12.0,,True,,True,True,True,True,,False,False,,,,True,,,True,,,,,,True,,,,,,,,,,,
24315623,https://www.airbnb.com.vn/rooms/24315623,,Cao Bằng,5,22.66545,106.26489,REGULAR,,Sống cùng gia đình bản xứ CAO BANG 2 BR view đẹp,entire_home,,,,,False,,/ đêm,936.822,₫936.822,6.0,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
