room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,isSuperHost,isVerified,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,rating,reviewCount,SYSTEM_POOL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_SMOKE,yearHosting,price,price_full,SYSTEM_BEACH,SYSTEM_WASHER,SYSTEM_CRIB,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_FIREPLACE,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_PATIO_BALCONY,SYSTEM_ELEVATOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_SAUNA,SYSTEM_PACK_N_PLAY,SYSTEM_REFRIGERATOR,SYSTEM_HIGH_CHAIR,SYSTEM_BATHTUB,SYSTEM_BREAKFAST,SYSTEM_CALENDAR,SYSTEM_PIANO,SYSTEM_MICROWAVE,SYSTEM_MAPS_RESORT,SYSTEM_GOLF
569045569612213497,https://www.airbnb.com.vn/rooms/569045569612213497,Thành phố Hội An,22,15.90074,108.35565,REGULAR,,Hội An một biệt thự đại dương liền mạch,private_room,True,True,False,,/ đêm,2.0,True,,,True,True,True,True,True,False,"4,95",19,,True,True,,,,4,593.412,₫593.412,True,,,,,,,,,,,,,,,,,,,,,,,,
31577286,https://www.airbnb.com.vn/rooms/31577286,Điện Bàn,26,15.9286,108.31617,REGULAR,,Phòng XA ấm cúng,private_room,,,False,,/ đêm,2.0,,,,True,True,,True,,False,"4,5",12,,,True,,True,False,,433.647,₫433.647,,,,True,,,,,,,,,,True,,,,,,True,,,,,
856144332481461687,https://www.airbnb.com.vn/rooms/856144332481461687,Ngũ Hành Sơn,11,16.01451819222682,108.26293253701782,REGULAR,,1B Nhìn ra biển tại Hyatt Resort,entire_home,,,False,,/ đêm,3.0,,True,,True,True,True,True,,False,"5,0",3,True,,,,,,,3.081,₫3.081.178,True,,,,,,,,,,,,,,True,,,,,,,,,,
41135252,https://www.airbnb.com.vn/rooms/41135252,Thành phố Hội An,14,15.89037,108.32225,REGULAR,,Phòng hạnh phúc,private_room,,,False,,/ đêm,2.0,,,,True,True,,,,False,"5,0",11,,True,True,True,True,,,479.294,₫479.294,,,,,,,,,,,,,,,,,True,,,,True,,,,
820674519056107556,https://www.airbnb.com.vn/rooms/820674519056107556,Thành phố Hội An,7,15.914823,108.3347738,REGULAR,,Happy nest by PAO HOMES- 1min walking to the beach,entire_home,,,False,,/ đêm,2.0,,True,,True,True,True,True,,False,,,,,True,True,,False,,1.338,₫1.338.278,True,,,,,,,,,,,,,,,,,,,,,,,,
19485848,https://www.airbnb.com.vn/rooms/19485848,Thành phố Hội An,30,15.88328,108.34824,REGULAR,,BIỆT THỰ BOUTIQUE HÌNH CÂY,hotel_room,,,False,,/ đêm,16.0,,,,,True,True,True,,False,"4,83",92,True,True,,,,False,,,,,True,,True,,,,,,True,,,,,,,,,,,,,,,
46494617,https://www.airbnb.com.vn/rooms/46494617,Phước Sơn,26,15.44201,107.79294,REPRESENTATIVE,,Phòng ấm cúng và tiết kiệm hoàn hảo tại khách sạn Châu Giang,private_room,,,False,,/ đêm,2.0,,,,,True,,True,,False,,,,True,True,,True,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
879277704115076602,https://www.airbnb.com.vn/rooms/879277704115076602,Thành phố Hội An,30,15.88727122500004,108.37906615250023,REGULAR,,Villa rooms-breakfast-beach 200m,private_room,,,False,,/ đêm,2.0,,True,,True,True,True,True,True,False,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
872348627195605090,https://www.airbnb.com.vn/rooms/872348627195605090,Thành phố Hội An,29,15.8827542,108.3504292,REGULAR,,Twin/ Dbl Room W Breakfast- Hoi An Heart Villa,private_room,False,True,False,,/ đêm,2.0,True,,,,True,True,True,True,,,,True,True,True,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,
651963502716000069,https://www.airbnb.com.vn/rooms/651963502716000069,Ngũ Hành Sơn,17,16.04926,108.24823,REGULAR,,"Tầm nhìn ra biển, 1 phút đi bộ là tới bãi biển Mỹ Khê",private_room,,,False,,/ đêm,2.0,,,,,True,True,True,True,False,"4,7",10,,True,True,,,,,492.000,₫492.000,True,,,,,,,,,True,,True,,,,,,,,,,,,,
888688479346722954,https://www.airbnb.com.vn/rooms/888688479346722954,Thành phố Hội An,20,15.906742221125223,108.34074978459473,REGULAR,,Daisy 7BRs w Amazing pool - 7 min to An Bang Beach,entire_home,,,False,,/ đêm,16.0,,,,True,True,True,True,True,False,,,True,,,,,False,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,
850970316179701970,https://www.airbnb.com.vn/rooms/850970316179701970,Thành phố Tam Kỳ,14,15.60383,108.54425,REGULAR,,JJ Beach Front Villa I,entire_home,,,False,,/ đêm,6.0,,True,,True,True,True,True,True,False,,,,,,,,False,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
31635636,https://www.airbnb.com.vn/rooms/31635636,Thành phố Hội An,18,15.87536,108.32493,REGULAR,,Phòng Deluxe có Ban công - 5 phút đi bộ đến Thị trấn Hội An,private_room,True,True,False,,/ đêm,2.0,True,,,,True,True,True,,False,"4,9",112,,True,True,True,,False,4,559.177,₫559.177,,,,,,,,,,,,True,,,,,,,,,,,,,
39791136,https://www.airbnb.com.vn/rooms/39791136,Thành phố Hội An,14,15.88095,108.32752,REGULAR,,Phòng Superior - Gần phố cổ Hội An,private_room,True,False,False,,/ đêm,2.0,True,,,,True,,,,False,"4,82",51,,True,True,True,True,False,4,429.200,₫429.200,,,,,,,,,,,,,,,,,True,,,True,,,,,
40290576,https://www.airbnb.com.vn/rooms/40290576,Ngũ Hành Sơn,18,16.05319,108.24593,REPRESENTATIVE,,Luxury Suite 1 phút ra bãi biển/Family Luxury Suite - 1 phút ra bãi biển,entire_home,,,False,,/ đêm,4.0,,,,True,True,True,True,,False,"4,86",44,,True,True,,,,,719.200,₫719.200,,True,,,True,,,,,,,,True,,,,,,,,,,,,
