room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,rating,reviewCount,SYSTEM_BEACH,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,isSuperHost,isVerified,yearHosting,price,price_full,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_SNOWFLAKE,SYSTEM_PETS,SYSTEM_MAPS_RESORT,SYSTEM_VIEW_CITY,SYSTEM_ELEVATOR,SYSTEM_PATIO_BALCONY,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_DRYER,SYSTEM_FIREPLACE,SYSTEM_BATHTUB,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SAUNA,SYSTEM_HIGH_CHAIR,SYSTEM_SMOKING_ALLOWED,SYSTEM_BREAKFAST,SYSTEM_FIREPIT,SYSTEM_REFRIGERATOR,SYSTEM_SKI,SYSTEM_BOAT_SAIL,SYSTEM_CRIB,SYSTEM_PACK_N_PLAY,SYSTEM_TOYS,SYSTEM_PIANO,SYSTEM_CALENDAR
840400341564660923,https://www.airbnb.com.vn/rooms/840400341564660923,Nha Trang,17,11.99562,109.22978,REGULAR,,Ocean View The Arena Cam Ranh (Bao gồm bữa sáng),private_room,False,,/ đêm,2,,,,True,True,True,,,False,,,,True,True,,True,False,True,,1.997,₫1.997.060,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,
791694204704681983,https://www.airbnb.com.vn/rooms/791694204704681983,Cam Lâm,16,12.1122269,109.1875979,REGULAR,,COBI's Home,private_room,False,,/ đêm,15,True,,True,True,True,,,True,False,False,,,True,,,,False,True,,,,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,
41449934,https://www.airbnb.com.vn/rooms/41449934,Cam Lâm,30,12.11549,109.19078,REGULAR,,"Florihome Beach House, 02 next door Balcony Rooms",private_room,False,,/ đêm,4,,,True,True,True,True,,True,False,,"4,75",4,True,,,True,False,True,3,1.198,₫1.198.236,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
823022468946429832,https://www.airbnb.com.vn/rooms/823022468946429832,Cam Ranh,6,11.93852,109.18537,REGULAR,,Căn 1 phòng ngủ rưỡi 26/3-2/4,entire_home,False,,/ đêm,3,,,True,True,True,True,True,True,,,,,True,True,True,True,,,,3.537,₫3.537.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37381278,https://www.airbnb.com.vn/rooms/37381278,Thành phố Phan Rang - Tháp Chàm,16,11.57729,108.98961,REGULAR,,Phòng Chén - Toilet riêng,private_room,False,,/ đêm,2,,,True,True,,True,,,,,,2,,,,,False,True,4,410.824,₫410.824,True,,,True,True,,,,,,,,,,True,,,,,,True,,,,,,,
40954397,https://www.airbnb.com.vn/rooms/40954397,Thành phố Phan Rang - Tháp Chàm,30,11.57844,109.0249,REGULAR,,Nhà riêng của tôi - gần bãi biển Ninh Chu,entire_home,False,,/ đêm,4,,,True,True,True,True,True,,False,False,,,,,,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
41410443,https://www.airbnb.com.vn/rooms/41410443,Thành phố Phan Rang - Tháp Chàm,25,11.564296500303536,109.01494677769318,REGULAR,,"Căn hộ của Chanh - Tầm nhìn ra bãi biển Bình Sơn, PR",entire_home,False,,/ đêm,4,,,True,True,True,True,True,,,,,,True,,,True,,,,861.158,₫861.158,,,,True,,,True,,,,,,,,,,,,,,True,,,,,,,
823763982252900628,https://www.airbnb.com.vn/rooms/823763982252900628,Bai Dai,29,12.024387745844757,109.21538762748241,REGULAR,,Tận hưởng cuối tuần@resort@ by Sân bay,entire_home,False,,/ đêm,2,,True,True,True,True,True,,,,,,,True,True,,True,,,,3.800,₫3.800.000,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
753635858209796952,https://www.airbnb.com.vn/rooms/753635858209796952,Thành phố Phan Rang - Tháp Chàm,30,11.57673,109.01299,REGULAR,,Căn hộ cao cấp N1 ven biển Bình Sơn,private_room,False,,/ đêm,4,True,,True,True,True,,,True,False,False,,,True,,,,False,True,,975.706,₫975.706,,,,,,,,,,False,,,,,,,,,,,,,,,,,,
39382148,https://www.airbnb.com.vn/rooms/39382148,Đạ Chais,30,12.14074,108.63209,REGULAR,,Chappi Mountains Bungalow - Cozy Wood Bungalow 2,entire_home,False,,/ đêm,2,True,,,True,,True,,True,False,False,"4,0",3,,,,,,,,513.530,₫513.530,,,,,True,,,,True,,,,True,,,,,,,,,,,,,,,
37589273,https://www.airbnb.com.vn/rooms/37589273,Thành phố Phan Rang - Tháp Chàm,9,11.5872,108.99251,REGULAR,,"NaNaHomestay 17/42a Thống Nhất, Phan Rang Tháp Chàm",entire_home,False,,/ đêm,2,,,True,True,,True,True,,False,False,,,,,,,,,,342.353,₫342.353,,,,True,True,,,,,,,,,,True,,,True,,,,,,,,,,
48427365,https://www.airbnb.com.vn/rooms/48427365,Thành phố Phan Rang - Tháp Chàm,24,11.58671,109.01607,REGULAR,,[Nhà số 6 Chuồn Chuồn] BIỆT THỰ ẤM CÚNG & THƯ GIÃN,entire_home,False,,/ đêm,10,,,True,True,True,True,,,False,False,,,True,,True,True,,,,2.716,₫2.716.001,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
851917932932593899,https://www.airbnb.com.vn/rooms/851917932932593899,Bai Dai,18,12.119815010748052,109.18856752414209,REGULAR,,View núi cửa sổ lớn phòng riêng ở Bãi Dài Cam Lâm,private_room,False,,/ đêm,2,,,True,True,True,,True,True,False,,,,True,,,,False,True,,545.564,₫545.564,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
863483610842848816,https://www.airbnb.com.vn/rooms/863483610842848816,Thành phố Cam Ranh,13,12.032160716978948,109.21139656097888,REGULAR,,The Arena - một nơi tuyệt vời!,private_room,False,,/ đêm,2,,,,True,True,True,,True,False,False,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41567309,https://www.airbnb.com.vn/rooms/41567309,Thành phố Phan Rang - Tháp Chàm,10,11.55899,108.99408,REGULAR,,Sống cùng gia đình bản xứ - trung tâm Phan Rang - (Đồng cừu),private_room,False,,/ đêm,2,,,True,True,,True,True,,False,False,,,,,,True,False,True,,401.503,₫401.503,True,,,True,,,,,,,,,,,True,,,,,,,,,,,,,
852591691322165820,https://www.airbnb.com.vn/rooms/852591691322165820,Thành phố Cam Ranh,10,12.02733,109.21571,REGULAR,,Arena Cam Ranh Seew,private_room,False,,/ đêm,2,,,True,True,True,True,,,,,,,True,True,,True,,,,,,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,
819774337425981284,https://www.airbnb.com.vn/rooms/819774337425981284,Thành phố Phan Rang - Tháp Chàm,30,11.564448910408002,109.01467191820034,REGULAR,,Căn hộ số2 - Bãi biển Phan Rang,entire_home,False,,/ đêm,4,,,True,True,,True,True,,False,,,,True,,,True,,,,879.359,₫879.359,,,,True,,,,,,,,,,,,,,True,,,True,,,,,,,
853078178934067157,https://www.airbnb.com.vn/rooms/853078178934067157,Cam Lâm,30,12.031170202753007,109.21500449808349,REGULAR,,Villa PhongLiem,entire_home,False,,/ đêm,11,,True,True,True,True,True,,True,,,,,True,True,,True,,,,4.907,₫4.907.061,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
41088136,https://www.airbnb.com.vn/rooms/41088136,Phan Rang–Tháp Chàm,10,11.56332,109.0177,REGULAR,,Homestay Phan Rang .,entire_home,False,,/ đêm,6,,,True,True,,True,True,,False,False,,,,,,True,,,,,,,,,True,,,,,,,,True,,,True,,,,,,,,,,,,,
41448033,https://www.airbnb.com.vn/rooms/41448033,Cam Lâm,30,12.11369,109.1879,REGULAR,,Florihome Beach House - Sky Window Room #202,private_room,False,,/ đêm,2,,,True,True,True,True,,True,False,,,2,True,,,True,False,True,3,513.530,₫513.530,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
832071160638363775,https://www.airbnb.com.vn/rooms/832071160638363775,Cam Lâm,14,12.11808,109.19038,REGULAR,,"Không gian yên tĩnh, gần núi, gần biển",private_room,False,,/ đêm,15,True,,True,True,,True,,,False,False,,,True,,,True,False,True,,,,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,
649914186364653734,https://www.airbnb.com.vn/rooms/649914186364653734,Thành phố Cam Ranh,15,11.9945704,109.1920342,REGULAR,,Phòng hạng sang cho Gia đình tại Trieu Khang Hotel,private_room,False,,/ đêm,4,,,,True,True,True,,,False,,,,,,True,True,,,,570.589,₫570.589,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,
47896577,https://www.airbnb.com.vn/rooms/47896577,Thành phố Phan Rang - Tháp Chàm,13,11.56399,109.01561,REGULAR,,Emile Home - Family,entire_home,False,,/ đêm,4,,,True,True,,True,True,,False,,,,True,,,True,,,,1.124,₫1.124.177,,,,True,,,,True,,,,,,,,,,,,,True,,,,,,,
708821831116348380,https://www.airbnb.com.vn/rooms/708821831116348380,Cam Lâm,19,12.1122269,109.1875979,REGULAR,,"Khách sạn giá rẻ, phòng ốc, sạch sẽ thoáng mát",private_room,False,,/ đêm,10,,,,True,True,True,,True,False,,,,True,,,True,,,,701.049,₫701.049,,,,True,,,,,,,,,,True,True,,,,,,,,,,,,,
802840463114539985,https://www.airbnb.com.vn/rooms/802840463114539985,Cam Lâm,21,12.02898,109.21743,REGULAR,,Lancy of The Arena Cam Ranh,entire_home,False,,/ đêm,2,,,True,True,True,True,,,False,,,,True,True,,True,,,,1.027,₫1.027.059,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,
827832554514784731,https://www.airbnb.com.vn/rooms/827832554514784731,Cam Ranh,10,12.062195339529852,109.20095105252749,REGULAR,,Biệt thự bí ẩn 2 phòng ngủ,entire_home,False,,/ đêm,4,,,True,True,True,True,,,False,,,,True,True,True,True,,,,4.785,₫4.785.893,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
775261570410843017,https://www.airbnb.com.vn/rooms/775261570410843017,Thành phố Cam Ranh,10,12.07201,109.1952,REGULAR,,Alma Resort 1 phòng ngủ ngày 18/12-25/12,entire_home,False,,/ đêm,3,,,True,True,True,True,,True,False,,,,True,True,True,True,,,,1.369,₫1.369.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26118234,https://www.airbnb.com.vn/rooms/26118234,Phan Rang–Tháp Chàm,9,11.56318,109.01446,REGULAR,,Gia đình Tống Anh,private_room,False,,/ đêm,2,,,,True,,True,True,,,,"4,53",17,,,,True,,,,342.353,₫342.353,,,,True,,,,,True,,True,,,True,,,,,,,True,,,,,,,True
823751331418613675,https://www.airbnb.com.vn/rooms/823751331418613675,Cam Lâm,5,12.11261,109.18847,REGULAR,,"Gần núi, gần biển",private_room,False,,/ đêm,15,True,,True,True,True,,,True,False,False,,,True,,,,False,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
41696237,https://www.airbnb.com.vn/rooms/41696237,Thành phố Phan Rang - Tháp Chàm,16,11.56026,108.99248,REGULAR,,Sống cùng gia đình bản xứ - Trung tâm Phan Rang - 2 giường đôi,private_room,False,,/ đêm,4,,,True,True,,True,True,True,False,False,,,,,,,False,True,,508.542,₫508.542,True,,,True,,,,,,,,,,,True,,,,,,,,,,,,,
835883771848494613,https://www.airbnb.com.vn/rooms/835883771848494613,Cam Lâm,30,12.03089,109.21575,REGULAR,,Biệt thự hồ bơi 1 phòng ngủ,entire_home,False,,/ đêm,2,,,True,True,True,True,,,False,False,,,True,True,True,True,,,,2.681,₫2.681.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
