room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_POOL,yearHosting,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_REFRIGERATOR,SYSTEM_EV_CHARGER,SYSTEM_BREAKFAST,SYSTEM_BATHTUB,SYSTEM_SMOKING_ALLOWED,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_GOLF,SYSTEM_CALENDAR,SYSTEM_SAUNA,SYSTEM_MAPS_RESORT,SYSTEM_FIREPIT,SYSTEM_TOYS,SYSTEM_PIANO
691311765434225751,https://www.airbnb.com.vn/rooms/691311765434225751,,Lạch Tray,9,20.83675,106.69997,REGULAR,,"Ray House - Ha, i Pho,ng",entire_home,,False,,/ đêm,1.369,₫1.369.412,9,True,True,True,True,,True,,True,,False,True,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
46072301,https://www.airbnb.com.vn/rooms/46072301,"4,83",Thành phố Hạ Long,25,20.95397,107.02518,REGULAR,,Phòng ngủ Queen★ thoải mái phong cách Đông Dương★ Trung tâm HL,private_room,12,False,,/ đêm,378.041,₫378.041,2,True,True,True,True,,True,,True,,False,True,,,,,False,,,,,,True,,,,,,,,,,,,,,,,,,,,
877093501297971158,https://www.airbnb.com.vn/rooms/877093501297971158,,Cát Hải,5,20.72813,107.04161,REGULAR,,Seoul Hotel And Apartment - Deluxe room 304,private_room,,False,,/ đêm,,,2,,True,True,True,True,True,,True,,False,True,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,
871319464803306390,https://www.airbnb.com.vn/rooms/871319464803306390,,Thành phố Hạ Long,30,20.95289200013136,107.02401414437952,REGULAR,,Window Sea View Apartment,entire_home,,False,,/ đêm,,,2,True,True,True,True,,True,True,True,,,True,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,
883685685344995589,https://www.airbnb.com.vn/rooms/883685685344995589,,Cát Hải,30,20.73274,107.04507,REGULAR,,Phòng giá rẻ.Phục vụ chu đáo,entire_home,,False,,/ đêm,,,16,True,True,True,True,True,True,,True,,False,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
869693161573500038,https://www.airbnb.com.vn/rooms/869693161573500038,,Cát Bà,30,20.730687957149055,107.04986669581325,REGULAR,,-30%Two rooms for 3-4 guests-Free big breakfast,private_room,,False,,/ đêm,1.436,₫1.436.171,4,True,True,True,,,,,True,True,False,True,,,,,False,False,True,,,False,,,,,,True,,,,,,,,,,,,,,,
889825201112562255,https://www.airbnb.com.vn/rooms/889825201112562255,,Thành phố Hạ Long,30,20.943990039971617,107.1253972883606,REGULAR,,Peaceful House With Seaview,entire_home,,False,,/ đêm,,,6,True,True,True,True,True,,,,,,,,,,True,,,,,,,True,,True,,True,True,,,,,,,,,,,,,,,
737364285871658488,https://www.airbnb.com.vn/rooms/737364285871658488,"4,96",Cát Hải,19,20.732902817396376,107.04589008022965,REGULAR,,Lynh 's Villa - 1 phòng ngủ đôi có ban công,private_room,26,False,,/ đêm,970.000,₫970.000,2,True,True,True,True,,,,,,False,,,,,True,False,,,,,,True,True,,,,True,,,,,,,,,,,,,,,
47188032,https://www.airbnb.com.vn/rooms/47188032,"4,94",Ngô Quyền,30,20.83977,106.69468,REGULAR,,Gia đình căn hộ SAOLA,entire_home,16,False,,/ đêm,1.344,₫1.344.931,4,True,True,True,True,True,,True,,,,,,,,True,,,,,,,True,True,,,,,,True,,,,,,,,,,,,,
39089625,https://www.airbnb.com.vn/rooms/39089625,"5,0",Thành phố Hạ Long,14,20.95044,107.0255,REGULAR,,Minh23 - 2Br-High Floor-Sea View,entire_home,3,False,,/ đêm,1.124,₫1.124.001,8,True,True,True,True,,,,,,False,,,,,True,,,,,,,True,,True,,True,True,,,,,,,,,,,,,,,
