room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_TV,SYSTEM_VIEW_OCEAN,SYSTEM_BATHTUB,SYSTEM_ELEVATOR,SYSTEM_HAIRDRYER,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_CALENDAR,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_FIREPLACE,SYSTEM_BEACH,SYSTEM_TOYS,SYSTEM_FIREPIT
37438031,https://www.airbnb.com.vn/rooms/37438031,"4,57",Ninh Kiều,22,10.03036,105.78759,REGULAR,,ALUNY - GOLDEN,hotel_room,21,False,,/ đêm,600.000,₫600.000,2.0,,True,,,,,True,,False,False,,True,,,,True,,,,,,,,,,True,,,,,,,,,,,,
32828042,https://www.airbnb.com.vn/rooms/32828042,"4,78",Ninh Kiều,30,10.03212,105.78455,REGULAR,,MAGNOLIA 'S King Bed Studio @ Bến cảng Cần Thơ,entire_home,9,False,,/ đêm,1.270,₫1.270.000,2.0,,True,,True,,,True,True,False,,,True,,,True,True,,,,,True,,,,,,,,,,,,,True,,,,
29355416,https://www.airbnb.com.vn/rooms/29355416,,Cần Thơ,6,10.04512,105.77841,REGULAR,,101-08 Homestay,private_room,,False,,/ đêm,365.177,₫365.177,2.0,True,True,,True,,True,True,,False,,,True,,,,True,,,True,,,False,True,,,,False,,,,,,,,,,,
29356116,https://www.airbnb.com.vn/rooms/29356116,"4,8",Ninh Kiều,10,10.04638,105.77919,REGULAR,,102-08 Homestay,private_room,5,False,,/ đêm,365.177,₫365.177,2.0,True,True,,True,,True,True,,False,,,True,,,,True,,,True,,,False,True,5,,,False,,,,,,,,,,,
814176858509903128,https://www.airbnb.com.vn/rooms/814176858509903128,,Ninh Kiều,19,10.023993342560146,105.77109094709158,REGULAR,,Sân tầng 28-3 của Spring House,private_room,,False,,/ đêm,342.444,₫342.444,1.0,True,True,True,True,True,True,,,False,False,,True,,,,,,,,,,True,True,,True,,,,,,,,,,,,,
32175926,https://www.airbnb.com.vn/rooms/32175926,,Thành phố Nha Trang,6,10.26501,105.9233,REGULAR,,Phòng Studio đẹp - Căn hộ Pt,private_room,,False,,/ đêm,342.353,₫342.353,2.0,True,True,True,True,,,,True,False,False,,,,,,,,True,,,,False,True,,,,False,,,,,,,,,True,,
33251255,https://www.airbnb.com.vn/rooms/33251255,"4,83",Ninh Kiều,30,10.03003,105.78469,REGULAR,,Phòng MAGNOLIA 's Deluxe @ BẾN NINH KIỀU,private_room,12,False,,/ đêm,860.000,₫860.000,2.0,,True,,True,,,True,True,False,,,True,,,True,True,,,,,True,,,,,,,,,True,,,,,,,,
45533935,https://www.airbnb.com.vn/rooms/45533935,,Càng Long,18,9.93591,106.27142,REGULAR,,Bungalow ẩn trong khu vườn xinh đẹp,entire_home,,False,,/ đêm,401.495,₫401.495,2.0,True,True,,True,,True,True,True,False,False,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
883885695999917644,https://www.airbnb.com.vn/rooms/883885695999917644,,Thường Thạnh,30,9.97675,105.76287,REGULAR,,Ann Village (Glamping),private_room,,False,,/ đêm,,,16.0,,True,True,True,,,,True,False,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
818000435332232819,https://www.airbnb.com.vn/rooms/818000435332232819,,Chợ Lách,9,10.24642,106.13251,REGULAR,,Gite Nam Hiền Mekong,private_room,,False,,/ đêm,1.084,₫1.084.118,2.0,,True,,True,,True,True,,False,False,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
