room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,rating,reviewCount,yearHosting,price,price_full,SYSTEM_COOKING_BASICS,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_VIEW_CITY,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_REFRIGERATOR,SYSTEM_MICROWAVE,SYSTEM_ELEVATOR,SYSTEM_SAUNA,SYSTEM_BREAKFAST,SYSTEM_BEACH,SYSTEM_JACUZZI,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_CRIB,SYSTEM_FIREPIT,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_SKI,SYSTEM_PIANO,SYSTEM_BATHTUB
650425451200538810,https://www.airbnb.com.vn/rooms/650425451200538810,,19,21.0650529984523,105.32845249378013,REGULAR,,Les Bois Ba Vi Bungalows By HoLo - LB B1,private_room,False,,/ đêm,2,,True,True,True,True,True,,,False,False,,,,,,,,485.000,₫485.000,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,
719979493315673429,https://www.airbnb.com.vn/rooms/719979493315673429,Hoàn Kiếm,15,21.02037,105.84621,REGULAR,,Vequehomestay-Villa15- Phố cổ -Bếp-Yên tĩnh,private_room,False,,/ đêm,2,True,True,,True,,True,True,,False,False,False,False,,,"4,71",21,8,315.839,₫315.839,True,True,,,,,,,False,,,,,,,,,,,,,,,,,,
889335822358705688,https://www.airbnb.com.vn/rooms/889335822358705688,Cầu Giấy,25,21.04459,105.79056,REGULAR,,"Guest suite with private kitchen, toilet, AC",private_room,False,,/ đêm,3,,True,True,,True,,True,True,,,,,,,,,,421.995,₫421.995,True,,,True,True,,,,,True,True,,,,,,,,,,,,,,,,
864472251138044843,https://www.airbnb.com.vn/rooms/864472251138044843,Ba Đình,30,21.0438,105.8441,REGULAR,,(iii) Được trang bị đầy đủ tiện nghi/Studio/Trung tâm,private_room,False,,/ đêm,2,,True,True,True,True,,True,,False,False,,,,,"5,0",3,,,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,
15889901,https://www.airbnb.com.vn/rooms/15889901,Hanoi,11,21.01171,105.84003,REGULAR,,Rẻ và an toàn cho thuê,private_room,False,,/ đêm,2,True,True,True,True,True,,,,False,False,False,True,True,True,"4,47",55,7,267.664,₫267.664,True,,,,,,,,,,,,,,,,,,,,,,,,,,
746322085943335360,https://www.airbnb.com.vn/rooms/746322085943335360,Tây Hồ,19,21.05207,105.83968,REGULAR,,Căn hộ phong cách với không gian xanh gần hồ Tây,private_room,False,,/ đêm,2,True,True,True,,True,True,,,False,False,True,True,True,,"4,64",14,6,322.653,₫322.653,True,,,,,,,,,,,,,,,,,,,,,,,,,,
21807270,https://www.airbnb.com.vn/rooms/21807270,Hà Nội,28,21.0235,105.82509,REGULAR,,Ngôi nhà của một kiến trúc sư (Xanh dương),private_room,False,,/ đêm,2,,True,True,,True,True,True,,False,False,True,True,True,,"4,84",117,5,374.710,₫374.710,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
852001341076676351,https://www.airbnb.com.vn/rooms/852001341076676351,Hoàn Kiếm,13,21.0293002,105.8491782,REGULAR,,GEM-Topaz,private_room,False,,/ đêm,3,,True,True,True,True,,True,,False,False,False,True,,,"4,4",5,3,402.800,₫402.800,,True,,True,,,,,False,,,,,,,,,,,,,,,,,,
36681116,https://www.airbnb.com.vn/rooms/36681116,Hai Bà Trưng,18,20.99721,105.86368,REGULAR,,Ngôi nhà ấm cúng ở góc nhìn thoáng mát trên toàn trung tâm. R#202,private_room,False,,/ đêm,2,,True,True,,,True,True,,False,False,True,True,True,,"4,64",44,4,305.144,₫305.144,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,
661518993434369023,https://www.airbnb.com.vn/rooms/661518993434369023,Đống Đa,13,21.0222663,105.831827,REGULAR,,Yue 越 HOMESTAY #1 @yueviet,private_room,False,,/ đêm,2,True,True,True,True,True,,True,True,False,,True,True,True,,"4,99",74,2,428.294,₫428.294,,,,,True,,,,,,,,,,,,,,,,,,,,,,
21642515,https://www.airbnb.com.vn/rooms/21642515,Định Công,6,20.97813,105.83642,REGULAR,,"Phòng riêng hiện đại mới xây, ban công view đẹp",private_room,False,,/ đêm,1,,True,,True,,True,True,,False,,,,,,,,,267.664,₫267.664,True,,,True,,,,,,,,True,,,,,,,,,,,,,,,
740798436221615329,https://www.airbnb.com.vn/rooms/740798436221615329,Quang Tiến,20,21.2182863,105.7818496,REGULAR,,"Thanh Huong 99 - Noi Bai, Ha Noi, Viet Nam (201)",private_room,False,,/ đêm,2,,True,True,True,True,True,True,True,,,,,,,"4,62",26,,319.530,₫319.530,True,,True,,,True,,,,,,,,,,,,,,,,,,,,,
843928904800987551,https://www.airbnb.com.vn/rooms/843928904800987551,Hoàn Kiếm,7,21.0315055,105.855027,REGULAR,,"Phòng ấm cúng ở Hồ Gươm, Hoàn Kiếm",private_room,False,,/ đêm,2,True,True,True,True,,True,True,,,,,,,,"3,29",7,,,,True,,True,,True,,,True,,,,,,,,,,,,,,,,,,,
36889249,https://www.airbnb.com.vn/rooms/36889249,Thanh Xuân Nam,14,20.98529,105.79718,REGULAR,,CẢI TẠO MỚI - Phòng yên tĩnh gần Đại học Hà Nội,private_room,False,,/ đêm,1,,True,True,True,,True,True,True,False,False,False,True,True,,"4,78",9,4,271.565,₫271.565,True,,,,,,,,,,,,,,,,,,,,,,,,,,
39703917,https://www.airbnb.com.vn/rooms/39703917,Hà nội,30,21.03202,105.84704,REGULAR,,Khu phố cổ / PINKY HOME/ {Orchid garden Hanoi},entire_home,False,,/ đêm,2,,True,True,True,True,True,True,,False,False,,,,,"4,41",44,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
841756260812639174,https://www.airbnb.com.vn/rooms/841756260812639174,Hoàn Kiếm,12,21.0245787,105.8428323,REGULAR,,Soul Homestay - TV/bếp/Wi-fi,private_room,False,,/ đêm,2,,True,,True,True,True,True,True,False,False,,,,,"4,29",7,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
732151647948523523,https://www.airbnb.com.vn/rooms/732151647948523523,Hoàn Kiếm,28,21.021208,105.8473892,REGULAR,,VequeHomestay/Villa03/Trung tâm/Máy giặt miễn phí/Yên tĩnh,entire_home,False,,/ đêm,2,True,True,,,,True,True,,False,False,,,,,"4,48",58,,290.602,₫290.602,,,,True,,,,,,,,,,,,,,,,,,,,,,,
