room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_VIEW_CITY,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_FIREPLACE,SYSTEM_LUGGAGE_DROP,SYSTEM_REFRIGERATOR,SYSTEM_FLOWER,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_POOL,SYSTEM_SMOKING_ALLOWED,SYSTEM_PIANO,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_CRIB,SYSTEM_HIGH_CHAIR,SYSTEM_BREAKFAST,SYSTEM_VIEW_MOUNTAIN,SYSTEM_CALENDAR,SYSTEM_BATHTUB
884522026093493882,https://www.airbnb.com.vn/rooms/884522026093493882,,Hoàn Kiếm,20,21.01942,105.85546,REGULAR,,Comfort/bathtub/HoanKiem/Cental,private_room,1,False,True,5,False,,/ đêm,,,2.0,True,True,True,,True,True,,,False,False,,True,,,,,,,True,,,,,,,,,,,,,,,,,
44426054,https://www.airbnb.com.vn/rooms/44426054,"4,16",Hoàn Kiếm,30,21.02199,105.85323,REGULAR,,LUXHOME3_Yên tĩnh_BigBacony4 phút đến Hồ Hoàn Kiếm,entire_home,19,,,,False,,/ đêm,,,2.0,,True,True,,,True,True,True,False,False,,,,,,,,True,,True,,,,,,,,,,,,,,,,
865009784625368046,https://www.airbnb.com.vn/rooms/865009784625368046,,Ba Đình,6,21.0333701,105.811266,REGULAR,,1 studio near westlake and Lotte BĐinh,private_room,2,False,True,2,False,,/ đêm,325.235,₫325.235,2.0,,True,True,True,,,,,False,,True,True,True,True,,,,,True,,,,,False,,,,,,,,,,,,
893089055253770237,https://www.airbnb.com.vn/rooms/893089055253770237,,Đống Đa,10,21.029622935330696,105.8336904951065,REGULAR,,Libré Homestay - City View,private_room,,,,,False,,/ đêm,,,2.0,,True,True,,True,True,,,False,,,,,True,,,,,True,,,,,,,,,,,,,,,,,
35809168,https://www.airbnb.com.vn/rooms/35809168,"4,86",,11,21.03183,105.8081,REGULAR,,"H271*1bed Apt* Free laundry, clearning* Gim*Lotte",entire_home,73,,,,False,,/ đêm,487.060,₫487.060,2.0,,True,True,,True,,,,False,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,
893732136709169342,https://www.airbnb.com.vn/rooms/893732136709169342,,Đống Đa,8,21.0281838,105.8282371,REGULAR,,CL•Charming Studio Apt•Laundry•Pullman,entire_home,,,,,False,,/ đêm,,,2.0,,True,True,,True,True,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,
20396616,https://www.airbnb.com.vn/rooms/20396616,"4,79",Yên Phụ,21,21.0545,105.83766,REGULAR,,Sống cùng gia đình bản xứ Kim Hà Nội 2,private_room,24,True,True,6,False,,/ đêm,321.127,₫321.127,2.0,,True,True,True,True,,,,False,False,True,,,True,,True,,,,,,,,False,,,,,,,,,,,,
841756260812639174,https://www.airbnb.com.vn/rooms/841756260812639174,"4,29",Hoàn Kiếm,12,21.0245787,105.8428323,REGULAR,,Soul Homestay - TV/bếp/Wi-fi,private_room,7,,,,False,,/ đêm,368.000,₫368.000,2.0,,True,True,,True,True,True,,False,False,True,,,True,,,,,True,,,,,,,,,,,,,,,,,
661518993434369023,https://www.airbnb.com.vn/rooms/661518993434369023,"4,99",Đống Đa,13,21.0222663,105.831827,REGULAR,,Yue 越 HOMESTAY #1 @yueviet,private_room,74,True,True,2,False,,/ đêm,442.572,₫442.572,2.0,True,,True,True,,True,,,False,,True,,,True,,,,True,True,,True,,,,,,,,,,,,,,,
17193612,https://www.airbnb.com.vn/rooms/17193612,"4,44",,10,21.01208,105.8404,REGULAR,,Ấm cúng,private_room,59,False,True,7,False,,/ đêm,254.234,₫254.234,3.0,,True,True,True,True,,,,False,,True,,,True,,True,,True,,,,,,False,,,,,,,,,,,,
