room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_CITY,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_POOL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,SYSTEM_EV_CHARGER,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,rating,reviewCount,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_PETS,SYSTEM_NO_DETECTOR_SMOKE,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_FLOWER,SYSTEM_BEACH,SYSTEM_FIREPLACE,SYSTEM_JACUZZI,SYSTEM_VIEW_OCEAN,SYSTEM_BATHTUB,SYSTEM_CALENDAR,SYSTEM_MAPS_RESORT,SYSTEM_MICROWAVE,SYSTEM_MAPS_BAR,SYSTEM_PIANO,SYSTEM_BREAKFAST,SYSTEM_SAUNA,SYSTEM_BOAT_SAIL,SYSTEM_CRIB,SYSTEM_FIREPIT,SYSTEM_GYM
49267795,https://www.airbnb.com.vn/rooms/49267795,Thành phố Thủ Dầu Một,21,10.97107,106.66751,REGULAR,,New Cosy @Compass One Apartment wth Balcony View,entire_home,False,,/ đêm,1.316,₫1.316.024,4.0,,True,True,True,True,True,True,,,False,,,,,,"5,0",3,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,,
557161792783077307,https://www.airbnb.com.vn/rooms/557161792783077307,Quận 9,30,10.87984,106.83795,REGULAR,,"S25, Nhà nghỉ 3 phòng ngủ đáng yêu có bể bơi.",entire_home,False,,/ đêm,1.075,₫1.075.250,6.0,,True,True,,True,True,True,True,,,,,,,,"5,0",6,,True,,,True,,,,,,,True,,,,True,,,,,,,,,,,,
829230177857814606,https://www.airbnb.com.vn/rooms/829230177857814606,thành phố Biên Hòa,20,10.8916628,106.8634886,REGULAR,,homstay hương rừng,entire_home,False,,/ đêm,760.784,₫760.784,8.0,,True,True,True,,True,True,True,,False,,,,True,,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,,
836824895565023679,https://www.airbnb.com.vn/rooms/836824895565023679,Thuận An,15,10.91558891448502,106.70822024345397,REGULAR,,Căn Hộ Homestay Cao Cấp — An Phúc Studio 35,entire_home,False,,/ đêm,399.412,₫399.412,3.0,,True,True,True,True,True,True,True,,False,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,
700275897040271664,https://www.airbnb.com.vn/rooms/700275897040271664,Hồ Chí Minh,30,10.960516736363175,106.64881434291601,REGULAR,,"Khu nghỉ dưỡng Hương Sen
(Khu Tây Tạng Hương Sen)",private_room,False,,/ đêm,1.141,₫1.141.177,16.0,,,True,True,True,True,,True,,False,,,,True,,,,True,,,,,,,,,,,True,,,,True,,,,,,,,,,,,
724236025525719890,https://www.airbnb.com.vn/rooms/724236025525719890,Thuận An,18,10.92587,106.71498,REGULAR,,Tòa nhà thuận tiện và yên tĩnh bên cạnh vsip Singapore,entire_home,False,,/ đêm,1.369,₫1.369.412,4.0,,True,True,True,True,True,True,True,True,,,,,,,"5,0",3,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
704923403323206739,https://www.airbnb.com.vn/rooms/704923403323206739,thành phố Biên Hòa,8,10.951872228739072,106.82881370186807,REGULAR,,Căn hộ rộng rãi ở trung tâm thành phố Biên Hòa * Phòng tập thể dục miễn phí,entire_home,False,,/ đêm,1.453,₫1.453.530,4.0,,True,True,True,True,True,True,True,,False,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
33884926,https://www.airbnb.com.vn/rooms/33884926,Quận 12,7,10.86591,106.63473,REGULAR,,Căn hộ cao cấp tại Quận 12,private_room,False,,/ đêm,2.852,₫2.852.943,4.0,,True,True,,True,,True,True,,False,False,True,,,False,,,True,True,,,,False,,,,,,,,,,,,,,,,,,,,,,
615389388072718475,https://www.airbnb.com.vn/rooms/615389388072718475,tt. Hiệp Hòa,14,10.96965,106.36357,REGULAR,,"Biệt thự đáng yêu với hồ bơi, công viên nước và sân golf",entire_home,False,,/ đêm,2.282,₫2.282.354,4.0,,True,,True,True,,True,True,,False,,,,,,,,True,,,,,False,,,,,,,,,True,,True,,,,,,,,,,,
876452241665742410,https://www.airbnb.com.vn/rooms/876452241665742410,Thành phố Thủ Dầu Một,8,10.96353,106.66071,REGULAR,,Nhà nghỉ thảo ngân,private_room,False,,/ đêm,,,2.0,,,True,,,True,,,,False,,,,True,,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,,
