room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_TV,SYSTEM_NO_DETECTOR_CO2,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,price,price_full,SYSTEM_PETS,SYSTEM_FIREPIT,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,yearHosting,SYSTEM_DRYER,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_TOYS,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_LUGGAGE_DROP,SYSTEM_MAPS_RESORT,SYSTEM_EV_CHARGER,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_SKI,SYSTEM_GYM,SYSTEM_MICROWAVE
31152796,https://www.airbnb.com.vn/rooms/31152796,"4,0",Cát Hải,12,20.73862,107.03225,REGULAR,,Cabin Núi M7,private_room,4,False,,/ đêm,2.0,True,,,True,,True,True,,False,,,True,True,351.863,₫351.863,True,,,,,False,,True,,,,,,,,,,,,,,,,,,,,,
31097843,https://www.airbnb.com.vn/rooms/31097843,"4,21",An Dương,23,20.84752,106.6529,REGULAR,,"Phòng đôi nhà nghỉ Bảo Minh, thành phố Hải Phòng",private_room,14,False,,/ đêm,2.0,,,,True,,True,,True,False,True,,True,,296.706,₫296.706,,,,,,False,,,,,,,,True,,,,,True,,,,,,,,,,
747654587923579717,https://www.airbnb.com.vn/rooms/747654587923579717,,Cát Hải,13,20.724482,107.053356,REGULAR,,Khách sạn giá rẻ Coffee Scent với bữa sáng,private_room,,False,,/ đêm,2.0,,,,True,,True,,True,False,,,True,,399.412,₫399.412,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,
732946510707347215,https://www.airbnb.com.vn/rooms/732946510707347215,,Thành phố Cẩm Phả,6,20.99917,107.26323,REGULAR,,Phòng 1 giường giá rẻ chỉ 250k,private_room,,False,,/ đêm,2.0,,,,True,,,,True,False,,,True,,285.294,₫285.294,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
49535325,https://www.airbnb.com.vn/rooms/49535325,,Đằng Giang,6,20.84564,106.69721,REGULAR,,Căn hộ AB Lake Side Apartment,private_room,,False,,/ đêm,2.0,,,True,True,True,True,,True,False,True,,True,,399.412,₫399.412,,,False,False,,False,,,,,,False,,,,,,,,,,,,,,,,,
41724433,https://www.airbnb.com.vn/rooms/41724433,,Cát Hải,4,20.79513,106.99089,REGULAR,,phòng thành phố- 701,private_room,,False,,/ đêm,2.0,,,,True,,True,,True,False,,True,True,,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,
38169723,https://www.airbnb.com.vn/rooms/38169723,,Cát Hải,10,20.72736,107.04564,REGULAR,,Khách sạn Minh Hiếu,private_room,,False,,/ đêm,16.0,,True,,True,,True,,True,False,True,,True,,456.471,₫456.471,,,False,False,True,False,,,,,,,,True,,,,,,,,,,,,,,,
876757539490694321,https://www.airbnb.com.vn/rooms/876757539490694321,,Cát Hải,4,20.7293,107.042,REGULAR,,Seoul Hotel And Apartment - Deluxe Room 205,private_room,,False,,/ đêm,2.0,,True,,True,True,True,,True,False,,,True,,,,True,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
41826412,https://www.airbnb.com.vn/rooms/41826412,"4,25",Ngô Quyền,26,20.86384,106.69114,REGULAR,,Căn hộ Studio Khánh Phong PG0220 Vincom,entire_home,4,False,,/ đêm,2.0,,,True,True,True,True,,True,,True,True,True,,470.000,₫470.000,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
674842601092801563,https://www.airbnb.com.vn/rooms/674842601092801563,,Lê Chân,30,20.8377319,106.6773145,REGULAR,,Tour ẩm thực cảng Hải Phòng giá rẻ,private_room,,False,,/ đêm,9.0,True,,True,True,True,True,,True,,,,,,,,,,False,True,,,True,,,,True,False,True,,,,,,,,,,,,,,,,
23392309,https://www.airbnb.com.vn/rooms/23392309,,Hạ Long,17,20.97207,107.04683,REGULAR,,Thanh Long Hotel Halong,entire_home,,False,,/ đêm,16.0,,,,,,,,,False,,,,,456.471,₫456.471,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
708622009669172747,https://www.airbnb.com.vn/rooms/708622009669172747,,Cát Hải,5,20.72739,107.05298,REGULAR,,Phòng nghỉ trung tâm Cát Bà,private_room,,False,,/ đêm,2.0,,,,True,,True,,True,False,,,True,,355.605,₫355.605,,,False,True,True,False,,,,,,,True,True,True,,,,,,,,,,,,,,
40735273,https://www.airbnb.com.vn/rooms/40735273,,Hải Phòng,21,20.86443,106.69024,REGULAR,,Khánh Phong Apartment PG02-20 Vincom LTT,private_room,,False,,/ đêm,2.0,,,True,True,True,True,,True,,True,True,True,,450.000,₫450.000,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
