room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_VIEW_CITY,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_POOL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,SYSTEM_WORKSPACE,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_JACUZZI,SYSTEM_EV_CHARGER,SYSTEM_PATIO_BALCONY,SYSTEM_VIEW_MOUNTAIN,SYSTEM_FLOWER,SYSTEM_PETS,SYSTEM_ELEVATOR,SYSTEM_LUGGAGE_DROP,SYSTEM_DRYER,SYSTEM_REFRIGERATOR,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_GYM,yearHosting,SYSTEM_SMOKING_ALLOWED
35173670,https://www.airbnb.com.vn/rooms/35173670,,Thành phố Tuy Hòa,19,13.09467,109.31357,REGULAR,,Sống cùng gia đình bản xứ qua Thư,private_room,1,False,,/ đêm,285.294,₫285.294,2.0,,,True,True,,True,True,True,False,,,True,,,False,,,,,,True,,,,,False,True,True,,4,
889541158063803192,https://www.airbnb.com.vn/rooms/889541158063803192,,Thành phố Tuy Hòa,10,13.104758340814026,109.30715760557509,REGULAR,,"Khách sạn phú yên 5*
Giá tốt",entire_home,,False,,/ đêm,,,3.0,True,,True,True,,True,True,True,,,True,,,True,,True,,,,,,,,,,,,,,,True
622793015105764640,https://www.airbnb.com.vn/rooms/622793015105764640,,Thành phố Tuy Hòa,14,13.10302,109.30792,REGULAR,,"Apec 5 sao TPTuy Hòa, Phú Yên - View Thành Phố",entire_home,,False,,/ đêm,673.294,₫673.294,2.0,True,,,True,True,True,,True,False,,True,,True,,,,,,,,True,True,,,,,,,,,
807156523063349519,https://www.airbnb.com.vn/rooms/807156523063349519,,Thành phố Tuy Hòa,26,13.0877055,109.3105473,REGULAR,,Whisky The Light Phú Yên,entire_home,,False,,/ đêm,1.141,₫1.141.177,10.0,,True,True,True,True,True,,,False,,True,True,True,,,,,,True,,,,,,,,,,,,
706207819272105425,https://www.airbnb.com.vn/rooms/706207819272105425,,Thành phố Tuy Hòa,18,13.10498,109.30664,REGULAR,,Zin 's Home,entire_home,,False,,/ đêm,707.530,₫707.530,3.0,True,True,True,True,True,True,,True,,,True,,,,,True,,,,True,,,,,,,,,,,
658442381919455500,https://www.airbnb.com.vn/rooms/658442381919455500,,Thành phố Tuy Hòa,18,13.10234,109.30703,REGULAR,,Apec Mandala Phú Yên,entire_home,,False,,/ đêm,866.153,₫866.153,4.0,,,True,True,True,True,True,True,False,,True,,True,,,,,,,,,,,,,,,,,,
883029984551746921,https://www.airbnb.com.vn/rooms/883029984551746921,,Thành phố Tuy Hòa,10,13.0644,109.33828,REGULAR,,"Không gian rộng rãi, gần biển",private_room,,False,,/ đêm,,,16.0,True,,,True,,,True,True,False,,True,True,True,,False,,,,,,True,,,,,,,,,,
42612687,https://www.airbnb.com.vn/rooms/42612687,,Thành phố Tuy Hòa,21,13.10242,109.31226,REGULAR,,KHÁCH SẠN HERITAGE PHÚ YÊN - Tiêu chuẩn phòng đôi,private_room,,False,,/ đêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40161172,https://www.airbnb.com.vn/rooms/40161172,"4,67",Thị xã Sông Cầu,19,13.50887,109.29031,REGULAR,,Bungalow bãi biển Lucky Spot - Rạng đông thư giãn #1,private_room,3,False,,/ đêm,899.757,₫899.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872219419137432784,https://www.airbnb.com.vn/rooms/872219419137432784,,Tuy An,20,13.35385,109.28846,REGULAR,,Tammy homestay - Room 3,private_room,,False,,/ đêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,
616292590357398198,https://www.airbnb.com.vn/rooms/616292590357398198,"5,0",Thành phố Tuy Hòa,14,13.10301,109.30703,REGULAR,,GÓC NHÌN RA THÀNH PHỐ CỦA CHÚ GẤU,entire_home,5,False,,/ đêm,934.624,₫934.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746554701347684174,https://www.airbnb.com.vn/rooms/746554701347684174,,Thành phố Tuy Hòa,30,13.09879,109.31528,REGULAR,,"Phòng homestay 2 người (Cá Cơm), Tuy Hòa, Phú Yên",private_room,,False,,/ đêm,308.118,₫308.118,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,
826387273508356158,https://www.airbnb.com.vn/rooms/826387273508356158,,Thành phố Tuy Hòa,11,13.09909,109.31254,REGULAR,,Phòng kết nối - ở trung tâm Tuy Hòa,private_room,,False,,/ đêm,2.225,₫2.225.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
