room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,rating,reviewCount,isSuperHost,isVerified,yearHosting,SYSTEM_COOKING_BASICS,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_ELEVATOR,SYSTEM_BEACH,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_DRYER,SYSTEM_HAIRDRYER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_JACUZZI,SYSTEM_REFRIGERATOR,SYSTEM_POOL,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_VIEW_CITY,SYSTEM_LOCK_ON_DOOR,SYSTEM_LUGGAGE_DROP,SYSTEM_CALENDAR,SYSTEM_VIEW_OCEAN,SYSTEM_FIREPLACE,SYSTEM_GYM
790216360041797716,https://www.airbnb.com.vn/rooms/790216360041797716,Côn Đảo,19,8.68323,106.60448,REGULAR,,Nam Hải #2,private_room,False,,/ đêm,1.282,₫1.282.793,3.0,True,True,True,True,True,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28554911,https://www.airbnb.com.vn/rooms/28554911,Con Son Island,5,8.7012,106.6154,REGULAR,,Phòng đôi - Khách sạn boutique Island.,private_room,False,,/ đêm,,,2.0,True,,True,,True,,,,"4,67",3,,,,,,,,True,,,,,True,,,,,True,True,,,,,,,
48071415,https://www.airbnb.com.vn/rooms/48071415,Côn Đảo,5,8.70002,106.61244,REGULAR,,Phòng đôi,private_room,False,,/ đêm,537.252,₫537.252,2.0,True,True,True,True,True,,False,False,,,,,,,,,,,,,True,,True,,,True,,,,,,,,,,
4842259,https://www.airbnb.com.vn/rooms/4842259,Con dao,9,8.68428,106.61137,REGULAR,,Hướng nhìn ra biển ở Phi Yên ,private_room,False,,/ đêm,1.043,₫1.043.869,2.0,True,,,True,True,,False,False,,2,False,True,10,,False,,,,,,,True,,,True,,,,,,,,,,,
48637171,https://www.airbnb.com.vn/rooms/48637171,Côn Sơn,8,8.68117,106.60795,REGULAR,,Tầng thượng,private_room,False,,/ đêm,1.140,₫1.140.000,4.0,True,,True,True,True,,False,False,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
41966907,https://www.airbnb.com.vn/rooms/41966907,Côn Đảo,17,8.68599,106.61109,REGULAR,,"Homestay ngay trung tam, sach se, thoang mat",shared_room,False,,/ đêm,912.942,₫912.942,8.0,True,,True,True,True,,False,False,,,,,,True,,,,,True,True,True,,,,,,,,,,,,,,,
686447117174022695,https://www.airbnb.com.vn/rooms/686447117174022695,Côn Đảo,9,8.69386,106.60525,REGULAR,,Phòng đôi tại Motel Tuyết Tám Côn Đảo,private_room,False,,/ đêm,798.824,₫798.824,4.0,True,,True,True,,,False,False,,,,,,True,,,,,True,,True,,,True,,,,,,,,,,True,,
40406901,https://www.airbnb.com.vn/rooms/40406901,Côn Đảo,10,8.68976,106.6115,REGULAR,,Không gian ngọt ngào,private_room,False,,/ đêm,507.367,₫507.367,2.0,True,,True,True,True,,False,,,,,,,True,,True,,True,True,,,True,,,,,,,,,,,,,,
768688180034089760,https://www.airbnb.com.vn/rooms/768688180034089760,Côn Đảo,5,8.68799,106.59497,REGULAR,,Ngôi nhà nhỏ có tầm nhìn ra vườn,private_room,False,,/ đêm,855.883,₫855.883,4.0,True,,,True,True,True,False,False,,,False,False,,True,,,,,True,,True,,,,,,,,,,True,,,,,
45170652,https://www.airbnb.com.vn/rooms/45170652,Côn Đảo,2,8.70192,106.61728,REGULAR,,Hotel De Condor-Sky - Bữa sáng không bao gồm,private_room,False,,/ đêm,,,2.0,True,,True,,True,,,,,,,,,,,,,True,,,,,True,,,True,,,True,,,,,,,
47528835,https://www.airbnb.com.vn/rooms/47528835,Côn Đảo,8,8.68906,106.61182,REPRESENTATIVE,,Bữa sáng tại✯ ban công✯ Sân bay✯ Côn Đảo,private_room,False,,/ đêm,1.380,₫1.380.000,3.0,True,True,,True,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
41307572,https://www.airbnb.com.vn/rooms/41307572,Côn Đảo,24,8.67977,106.60108,REGULAR,,Phòng đôi tuyệt vời ở Côn Đảo,private_room,False,,/ đêm,1.846,₫1.846.859,2.0,True,,True,True,True,,False,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,
685920695994927148,https://www.airbnb.com.vn/rooms/685920695994927148,Côn Đảo,7,8.696,106.60631,REGULAR,,Phòng đơn tại Motel Tuyết Tám Côn Đảo,private_room,False,,/ đêm,570.589,₫570.589,2.0,True,,True,True,,,False,False,,,,,,True,,,,,True,,True,,,True,,,,,,,,,,True,,
756747786544624587,https://www.airbnb.com.vn/rooms/756747786544624587,Côn Đảo,9,8.68761,106.60817,REGULAR,,"Moonlight Homestay
2 giường đôi",private_room,False,,/ đêm,950.000,₫950.000,4.0,True,,True,,True,,False,False,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,
557832123487849611,https://www.airbnb.com.vn/rooms/557832123487849611,Côn Đảo,15,8.68618,106.6089,REPRESENTATIVE,,✯ Ban công sang trọng✯ Quadruple✯27m2 MayaHotel3✯Con Dao,private_room,False,,/ đêm,2.070,₫2.070.000,4.0,True,True,True,True,True,,,,,,,,,,,True,,,,,,,True,,,,,True,,,,,True,,,True
40910686,https://www.airbnb.com.vn/rooms/40910686,Côn Đảo,9,8.68812,106.61078,REPRESENTATIVE,,Sân bay✯ Côn Đảo✯✯ không có cửa sổ,private_room,False,,/ đêm,850.000,₫850.000,2.0,True,,True,True,True,,,,,,,,,,,,,,True,,,True,True,,,True,,,,,,,,,,
557065559948807119,https://www.airbnb.com.vn/rooms/557065559948807119,Côn Đảo,15,8.68838,106.60986,REPRESENTATIVE,,✯Ban công giường✯ đôi✯22m2 Maya Hotel 3✯Luxury✯Con Đào,private_room,False,,/ đêm,1.495,₫1.495.000,2.0,True,True,True,True,True,,,,,,,,,,,True,,,,,,,True,,,,,True,,,,,True,,,True
557823547443066066,https://www.airbnb.com.vn/rooms/557823547443066066,Côn Đảo,15,8.68776,106.60989,REPRESENTATIVE,,Phòng bốn ngươ ̀ i ✯✯sang trọng✯ 22m2 khách sạn Maya 3✯Côn Đảo,private_room,False,,/ đêm,1.840,₫1.840.000,4.0,True,True,True,True,True,,,,,,,,,,,True,,,,,,,True,,,,,True,,,,,True,,,True
40628684,https://www.airbnb.com.vn/rooms/40628684,Côn Đảo,13,8.69132,106.60742,REGULAR,,Gia đình - Phòng thân thiện tại khách sạn Q Song Chi,private_room,False,,/ đêm,534.071,₫534.071,4.0,True,,True,True,True,,False,,,,,,,True,,True,,,,,,,True,,,,,True,,,,,,,,
27250729,https://www.airbnb.com.vn/rooms/27250729,Con Son Island,3,8.69936,106.61483,REGULAR,,Bình yên với phòng Deluxe ở Hotel De Condor.,private_room,False,,/ đêm,,,2.0,True,,True,,True,,False,,,,,,,,,,,,,,,,True,,,,,True,True,,,,,,,
837960401726762822,https://www.airbnb.com.vn/rooms/837960401726762822,,8,8.64754,106.58556,REGULAR,,Deluxe Double Ocean View,private_room,False,,/ đêm,4.154,₫4.154.000,2.0,True,True,True,True,True,True,,,,,False,True,,,,,True,,,,,,,,True,,True,,,,True,,,,,
686606914950094861,https://www.airbnb.com.vn/rooms/686606914950094861,Côn Đảo,14,8.69458,106.60489,REGULAR,,Phòng đôi có ban công tại Motel Tuyết Tám Côn Đảo,private_room,False,,/ đêm,912.942,₫912.942,4.0,True,,True,True,True,,False,False,,,,,,True,,,,,True,,,,,,,,,,,True,,,,True,,
40621387,https://www.airbnb.com.vn/rooms/40621387,Côn Đảo,1,8.69106,106.60778,REGULAR,,Phòng cho thuê tại Côn Đảo,private_room,False,,/ đêm,593.412,₫593.412,2.0,True,,True,True,True,,,,,,False,True,,True,,True,,,,,,,True,,,,,True,,,True,,,,,
28165227,https://www.airbnb.com.vn/rooms/28165227,Con Son Island,5,8.70136,106.61727,REGULAR,,PHÒNG ĐÔI 1 trong Khách sạn Unique,private_room,False,,/ đêm,,,2.0,True,,True,,True,,,,,,,,,,,,,True,,,,,True,,,,,True,,,,,,,,
37611605,https://www.airbnb.com.vn/rooms/37611605,Con Son Island,17,8.70078,106.61581,REGULAR,,Phòng cao cấp 2 tại Hotel De Condor,hotel_room,False,,/ đêm,,,2.0,True,,,,True,,False,False,"4,75",4,,,,,,,,True,,,,,True,,,,,True,True,,,,,,,
686458834943713375,https://www.airbnb.com.vn/rooms/686458834943713375,Côn Đảo,9,8.6953,106.60641,REGULAR,,Phòng đôi tại Motel Tuyết Tám Côn Đảo,private_room,False,,/ đêm,798.824,₫798.824,4.0,True,,True,True,,,False,False,,,,,,True,,,,,True,,True,,,True,,,,,,,,,,True,,
598182467520292678,https://www.airbnb.com.vn/rooms/598182467520292678,Côn Đảo,6,8.70394,106.6175,REGULAR,,Cắm trại Côn Đảo - Lều trên đảo cho 3 người!,entire_home,False,,/ đêm,,,3.0,True,,True,,,,False,False,,,,,,True,,,True,True,True,True,True,,,,,,,,,,,,,,,
45791639,https://www.airbnb.com.vn/rooms/45791639,Côn Đảo,4,8.68379,106.60704,REGULAR,,Fuko homestay - phong cách Nhật Bản,private_room,False,,/ đêm,798.824,₫798.824,6.0,True,,,True,True,,False,False,,,False,False,,,,,,,,,,,True,,,,,,,,True,,,,,
49116619,https://www.airbnb.com.vn/rooms/49116619,Côn Đảo,25,8.68105,106.6033,REGULAR,,Phòng đôi với quang cảnh thành phố,private_room,False,,/ đêm,963.552,₫963.552,2.0,True,True,True,True,True,,False,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,
27299217,https://www.airbnb.com.vn/rooms/27299217,Con Son Island,2,8.69955,106.61479,REGULAR,,Phòng 3 phòng 2 tại Hotel De Condor,private_room,False,,/ đêm,,,3.0,True,,True,,True,,False,False,"4,67",3,,,,,,,,,,,,,True,,,,,True,True,,,,,,True,
40910855,https://www.airbnb.com.vn/rooms/40910855,Côn Đảo,9,8.68876,106.61126,REPRESENTATIVE,,Chuyển đến✯ sân bay✯ Côn Đảo ăn sáng miễn phí,private_room,False,,/ đêm,900.000,₫900.000,2.0,True,,True,True,True,,,,,,,,,,,,,,True,,,True,True,,,True,,,,,,,,,,
23951493,https://www.airbnb.com.vn/rooms/23951493,Thị xã Vĩnh Châu,6,9.32477,105.98101,REGULAR,,Toàn bộ căn hộ 2 BRs Center Sóc Trăng,entire_home,False,,/ đêm,695.897,₫695.897,1.0,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45097106,https://www.airbnb.com.vn/rooms/45097106,Côn Đảo,14,8.70007,106.61645,REGULAR,,Khách sạn Xanh lá cây - Tiêu chuẩn ăn kiêng kép loại trừ,private_room,False,,/ đêm,,,2.0,True,,,True,True,,False,False,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,
43559451,https://www.airbnb.com.vn/rooms/43559451,Côn Đảo,3,8.68422,106.60908,REGULAR,,Phòng nghỉ giá rẻ,private_room,False,,/ đêm,740.624,₫740.624,4.0,True,,True,True,True,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43607583,https://www.airbnb.com.vn/rooms/43607583,Côn Đảo,7,8.68263,106.60561,REGULAR,,Homestay Mộc Lan tại Côn Đảo,private_room,False,,/ đêm,,,4.0,True,,True,True,True,True,False,False,,,False,True,,True,False,,,,,,,,True,,,,,,,,,,,,,
40788788,https://www.airbnb.com.vn/rooms/40788788,Con Son Island,6,8.68779,106.61085,REGULAR,,PHÒNG VIP TỨ quý - Khách sạn Côn Sơn Victory - Côn Đảo,private_room,False,,/ đêm,1.380,₫1.380.824,4.0,True,,True,True,True,,,,,,,,,True,,True,,,,,,,True,,,,,,,,,,,,,
27251237,https://www.airbnb.com.vn/rooms/27251237,Con Son Island,1,8.70054,106.61628,REGULAR,,Family Room in Boutique Hotel,private_room,False,,/ đêm,,,4.0,True,,True,,True,,False,False,,,,,,,,,,,,,,,True,,,,,True,True,,,,,,True,
26619161,https://www.airbnb.com.vn/rooms/26619161,Côn Đảo,2,8.69834,106.61097,REGULAR,,Tripple Room 1 Hotel De Condor,private_room,False,,/ đêm,,,3.0,True,,True,,True,,,False,"4,0",4,,,,,,,,,,,,,True,,,,,True,True,,,,,,,
40787492,https://www.airbnb.com.vn/rooms/40787492,Con Son Island,11,8.6893,106.61124,REGULAR,,TWIN VIP ROOM - Côn Sơn Victory Hotel - Côn Đảo,private_room,False,,/ đêm,1.205,₫1.205.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46493612,https://www.airbnb.com.vn/rooms/46493612,Côn Đảo,10,8.68311,106.60724,REGULAR,,Sen Ẩn Charm Hotel - Phòng hai giường đơn,private_room,False,,/ đêm,741.765,₫741.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39979885,https://www.airbnb.com.vn/rooms/39979885,Con Son Island,9,8.70056,106.61216,REGULAR,,Phòng Vip tại khách sạn Nam Hải đảo Côn Đảo,private_room,False,,/ đêm,1.940,₫1.940.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46494923,https://www.airbnb.com.vn/rooms/46494923,Côn Đảo,9,8.68362,106.60602,REGULAR,,Khách sạn Sen Hidden Charm - Phòng ba,private_room,False,,/ đêm,970.000,₫970.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40788509,https://www.airbnb.com.vn/rooms/40788509,Con Son Island,11,8.68916,106.61073,REGULAR,,PHÒNG BA VIP - Khách sạn Côn Sơn Victory - Côn Đảo,private_room,False,,/ đêm,1.232,₫1.232.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40021175,https://www.airbnb.com.vn/rooms/40021175,Con Son Island,21,8.70176,106.61194,REGULAR,,Côn Sơn Victory Hotel - Côn Đảo,private_room,False,,/ đêm,975.706,₫975.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45170575,https://www.airbnb.com.vn/rooms/45170575,Con Son Island,5,8.70129,106.61577,REGULAR,,Bữa sáng không bao gồm bữa sáng tại Khách sạn De Condor-Twin-EExcluded,private_room,False,,/ đêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46494981,https://www.airbnb.com.vn/rooms/46494981,Côn Đảo,9,8.68379,106.6061,REGULAR,,Khách sạn Sen Ẩn Duyên - Phòng gia đình,private_room,False,,/ đêm,1.255,₫1.255.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23547619,https://www.airbnb.com.vn/rooms/23547619,,11,8.68666,106.61013,REGULAR,,Phòng đôi tiêu chuẩn,private_room,False,,/ đêm,856.514,₫856.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42501755,https://www.airbnb.com.vn/rooms/42501755,Côn Đảo,16,8.68817,106.60665,REGULAR,,"CON DAO-2 pax-Ánh Trăng Hotel, MLH",private_room,False,,/ đêm,776.000,₫776.000,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,
42520082,https://www.airbnb.com.vn/rooms/42520082,Côn Đảo,14,8.70144,106.61197,REGULAR,,"CON DAO-2 bed-Ánh Trăng Hotel, MLH",private_room,False,,/ đêm,901.530,₫901.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
